Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Actual Date of Completion (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),Sector
1,702948,"Jaunpur Sewerage Management Infrastructure Project","(Ministry of Housing & Urban Affairs)","Uttar Pradesh",03/2017,08/2019,03/2026,06/2023,03/2026,235.73,231.62,231.62,"Waste & Water"
2,709790,"Replacement and Extension of Jetty Pipelines [REJP] at KR","(Bharat Petroleum Corporation Limited [BPCL])","Kerala",03/2023,03/2023,02/2026,03/2026,02/2026,621.87,372,220,"Oil & Gas"
3,709789,"Installation of Independent De- Aromatized Solvents [DAS] production facilities at MR","(Bharat Petroleum Corporation Limited [BPCL])","Maharashtra",03/2023,03/2023,02/2026,07/2025,02/2026,405,343,254.56,"Oil & Gas"
4,400161,"PP Project, Pata","(Gas Authority of India Limited [GAIL])","Uttar Pradesh",03/2019,03/2019,02/2026,01/2024,02/2026,910.56,1299.02,1082,"Oil & Gas"
5,611950,"Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1","(Power Grid Corporation of India Limited [POWERGRID])","Rajasthan",09/2023,09/2023,03/2026,04/2025,-,2190.54,-,2190.54,"Transmission & Distribution"
6,705789,"Penukonda - Dharmavaram Doubling Project [41.5 Km]","(South Western Railway [SWR] - II)","Andhra Pradesh",06/2018,12/2018,02/2026,03/2026,03/2026,307.66,307.66,311.28,"Railways"
7,611944,"Quadrupling between Gandhidham Adipur with Y connection at Adipur for providing direct entry towards Mundra Port and Bhuj and high level platform at Gopalpur 11Kms","(Western Railway [WR] - II)","Gujarat",02/2023,02/2023,02/2026,03/2026,01/2026,152.44,152.44,120.36,"Railways"
8,705635,"Trivandrum- Kanyakumari","(Southern Railway [SR] - I)","Multi-States (Kerala, Tamil Nadu)",08/2017,03/2016,03/2026,03/2025,12/2026,1432,3785.45,2882.55,"Railways"
9,618424,"Construction of 2-Laning with hard shoulders of Hayuliang Hawai bypass Road on EPC basis from design Km. 51.825 to Km. 63.131 Existing Km 45.050 of HayuliangHawai road to Hawai Town under SARDP-NE -Balance work Pkg - IV","(NHIDCL)","Arunachal Pradesh",01/2017,05/2021,NA,05/2023,07/2026,256.66,216.76,0,"Roads & Highways"
