Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),APR26 progress (%),Sector
543,617231,Construction of Bulb line at Nabinagar Ankorah of East Central Railway,East Central Railway [ECR] - I,Bihar,06/2024,06/2024,06/2028,-,611.74,611.74,0.0,0.0,Aviation & Aviation Infrastructure
544,617239,Doubling of Narkatiaganj Raxaul Sitamarhi Darbhanga & Sitamarhi Muzaffarpur 256 KM,East Central Railway [ECR] - I,Bihar,11/2024,11/2025,11/2029,-,4079.95,4079.95,2.67,0.0,Aviation & Aviation Infrastructure
545,705364,Khagaria-Kusheshwar Asthan [42Km] new line project,East Central Railway [ECR] - I,Bihar,04/2019,12/1998,12/2024,03/2027,614.0,1384.16,491.2,55.7,Aviation & Aviation Infrastructure
546,705366,Hajipur-Sagauli New line,East Central Railway [ECR] - I,Bihar,10/2007,10/2004,03/2020,06/2027,2067.0,2087.0,2084.14,75.3,Aviation & Aviation Infrastructure
547,705368,Araria Supaul New BG Line,East Central Railway [ECR] - I,Bihar,06/2018,03/2009,03/2024,01/2027,1605.0,2514.0,1711.89,46.7,Aviation & Aviation Infrastructure
548,705373,Fatuha-Islampur incl. MM for extn.of NL from Neora to Daniawan  Daniawan to Biharsharif Biharsharif to Barbigha  Barbigha to Shekhpura,East Central Railway [ECR] - I,Bihar,08/2002,03/2002,03/2023,08/2025,1473.0,2882.0,2641.14,98.0,Aviation & Aviation Infrastructure
549,705450,Jogbani-Biratnagar New Rail Line project,Indian Railway Construction International Limited [IRCON],Bihar,06/2010,01/2011,03/2022,12/2026,402.0,486.0,369.28,86.26,Aviation & Aviation Infrastructure
550,705526,Samastipur-Darbhanga Doubling Railway Project,East Central Railway [ECR] - I,Bihar,11/2015,12/2015,03/2025,10/2025,519.0,519.0,401.84,97.0,Aviation & Aviation Infrastructure
551,705527,Sagauli-Valmiknagar,East Central Railway [ECR] - I,Bihar,03/2018,03/2017,12/2025,12/2025,1216.0,2222.0,2097.52,92.8,Aviation & Aviation Infrastructure
552,705528,Muzaffarpur-Sugauli,East Central Railway [ECR] - I,Bihar,03/2018,03/2017,06/2024,06/2026,1586.0,1586.0,1494.93,99.0,Aviation & Aviation Infrastructure
553,706759,Rampur Dumra-Tal-Rajendrapul Additional Bridge and Railway Line Doubling,Indian Railway Construction International Limited [IRCON],Bihar,03/2016,05/2017,12/2024,12/2025,2373.64,1700.24,1610.45,98.5,Aviation & Aviation Infrastructure
554,706860,Barauni-Bachwara [16 km] - 3rd & 4th line incl. Barauni yard remodelling [32 km],East Central Railway [ECR] - I,Bihar,10/2022,08/2025,08/2025,10/2026,645.0,645.0,47.53,56.7,Aviation & Aviation Infrastructure
555,900874,JHAJHA - BATIA,East Central Railway [ECR] - I,Bihar,03/2023,03/2023,03/2028,01/2030,588.18,588.18,2.38,0.1,Aviation & Aviation Infrastructure
556,400220,Kharsia-Dharamjaygarh with Spur line [East Corridor-Phase 1],Indian Railway Construction International Limited [IRCON],Chhattisgarh,03/2016,01/2014,09/2018,12/2026,3055.0,3798.06,2695.19,95.1,Aviation & Aviation Infrastructure
557,400291,Doubling of Kirandul-Jagdalpur Line [150 km],East Coast Railway [ECoR] - II,Chhattisgarh,02/2013,03/2013,03/2020,04/2027,1589.0,1798.0,1656.54,97.6,Aviation & Aviation Infrastructure
558,602792,Gauge Conversion of Kendri-Dhamtari including Abhanpur - Rajim Branch line 67.20 Kms - 2nd Material Modification to Raipur Titlagarh doubling.,SECR,Chhattisgarh,07/2011,05/2021,02/2025,06/2026,1171.0,1171.0,404.58,100.0,Aviation & Aviation Infrastructure
559,612815,4th line between Nipania Bhatapara 14.4 Km,South East Central Railway [SECR] - II,Chhattisgarh,12/2022,05/2024,03/2027,-,170.49,170.49,9.56,15.0,Aviation & Aviation Infrastructure
560,617200,KHARSIA- NAYA RAIPUR-PARMALKASA 5th and 6th Line [278KM],CAO/C/SECR,Chhattisgarh,04/2025,04/2025,03/2031,-,7853.84,7853.84,0.64,0.0,Aviation & Aviation Infrastructure
561,617374,Dallirajhara - Rowghat New Rail Line Project Phase-I,Rail Vikas Nigam Limited,Chhattisgarh,07/2009,11/2009,03/2025,02/2026,1516.45,1881.26,2124.32,98.0,Aviation & Aviation Infrastructure
562,705433,Dallirajhra- Rowghat New Railway Line - Phase I [95 km],Rail Vikas Nigam Limited,Chhattisgarh,07/2009,12/2009,09/2025,12/2025,1628.0,1628.0,1440.85,82.0,Aviation & Aviation Infrastructure
563,705444,Gevra Road-Pendra Road New Railway Line [135 km],Indian Railway Construction International Limited [IRCON],Chhattisgarh,04/2014,04/2014,03/2022,12/2026,4970.0,7448.52,5152.72,82.0,Aviation & Aviation Infrastructure
564,706854,Boridand - Ambikapur Doubling Line Project,South East Central Railway [SECR] - II,Chhattisgarh,06/2022,04/2022,06/2030,06/2030,1376.0,1576.72,258.97,27.0,Aviation & Aviation Infrastructure
565,709815,4TH LINE - BHATAPARA-HATHBAND [8.8 KM] [PB-72/NR/2022-23],SECR,Chhattisgarh,09/2022,05/2024,01/2027,12/2027,177.03,177.03,4.8,16.0,Aviation & Aviation Infrastructure
566,709816,4TH LINE - BHILAI-BHILAI NAGAR [8.8 KM] [PB-72/NR/2022-23],SECR,Chhattisgarh,09/2022,05/2024,02/2027,02/2027,177.34,177.34,1.91,7.0,Aviation & Aviation Infrastructure
567,709817,4TH LINE - DADHAPARA-BELHA [9.2 KM] [PB-72/NR/2022-23],SECR,Chhattisgarh,09/2022,05/2024,11/2026,11/2026,169.06,169.06,22.52,65.0,Aviation & Aviation Infrastructure
568,709818,4TH LINE RAJNANDGAON-DONGARHGARH [31.2 KM] [PB-72/NR/2022-23],SECR,Chhattisgarh,09/2022,05/2024,01/2027,01/2027,328.34,328.34,78.66,33.0,Aviation & Aviation Infrastructure
569,709819,3RD AND 4TH LINE - SARAGBUNDIA AND MADWARANI,SECR,Chhattisgarh,09/2022,05/2025,12/2026,12/2026,167.64,167.64,20.13,8.0,Aviation & Aviation Infrastructure
570,613785,Redevelopment of New Delhi Railway Station and construction of associated infrastructure,Rail Land Development Authority,Delhi,01/2023,06/2024,12/2028,-,4744.0,4744.0,257.53,3.0,Aviation & Aviation Infrastructure
571,617379,Development of New Bijwasan Railway Terminal,Northern Railways,Delhi,02/2008,03/2013,03/2020,12/2026,446.21,446.21,553.14,80.0,Aviation & Aviation Infrastructure
572,705583,Anand Vihar-Tilak Bridge 3rd & 4th line,CAO/C/NR,Delhi,03/2013,03/2013,03/2023,12/2027,667.0,667.0,312.74,23.0,Aviation & Aviation Infrastructure
573,706865,Chandargaon - Cansaulium Rail Flyover Project [16 Km],South Western Railway [SWR] - II,Goa,,04/2026,03/2031,-,1892.0,1892.0,0.0,0.0,Aviation & Aviation Infrastructure
574,611918,Kosamba Umarpada 70 Km,PCE/WR,Gujarat,07/2023,07/2022,03/2027,-,468.0,468.0,44.62,9.0,Aviation & Aviation Infrastructure
575,611943,New Broad Gauge line between Naliya to Jakhau Port,Western Railway [WR] - II,Gujarat,02/2023,02/2023,01/2028,02/2028,410.26,410.26,11.23,5.0,Aviation & Aviation Infrastructure
576,611945,Petlad Bhadran 23 Kms,Western Railway,Gujarat,05/2022,05/2022,05/2030,05/2030,307.11,307.11,18.9,17.0,Aviation & Aviation Infrastructure
577,611970,Samlaya Timba Road 54 km,PCE/WR,Gujarat,02/2023,02/2023,03/2030,03/2030,670.17,670.17,45.86,12.0,Aviation & Aviation Infrastructure
578,611971,Samni Jambusar 24 km,PCE/WR,Gujarat,05/2022,05/2022,03/2030,03/2030,350.0,349.93,71.06,31.0,Aviation & Aviation Infrastructure
579,611974,Western Railway Samakhiali Gandhidham Quadrupiling 53 Kms,Western Railway [WR] - II,Gujarat,08/2023,08/2023,12/2026,12/2027,1430.0,1430.0,519.4,35.0,Aviation & Aviation Infrastructure
580,611977,Dahod Creation of Infrastructure facilities for 9000 HP Electric locomotives Manufacturing at,PCE/WR,Gujarat,05/2022,02/2023,02/2025,-,487.0,487.0,222.88,53.0,Aviation & Aviation Infrastructure
581,611978,Dahod Rolling Stock Workshop Provision of Infrastructure for CBS at,PCE/WR,Gujarat,11/2022,03/2023,03/2025,-,158.0,158.0,51.87,10.0,Aviation & Aviation Infrastructure
582,611979,Sabarmati Setting up of Maintenance Facilities for Train Sets Phase ii,Western Railway [WR] - II,Gujarat,01/2023,04/2023,06/2025,05/2026,250.0,250.0,181.53,88.0,Aviation & Aviation Infrastructure
583,612072,4th LINE BETWEEN BAREJADI NANDEJ-SANAND-AHMEDABAD BYPASS,Western Railway WR - II,Gujarat,02/2023,02/2023,03/2027,07/2028,961.67,961.67,507.6,21.0,Aviation & Aviation Infrastructure
584,613786,Redevelopment of Ahmedabad railway station and associated infrastructure on engineering procurement and construction mode,Rail Land Development Authority,Gujarat,01/2023,11/2023,03/2028,-,2379.0,2379.0,977.35,31.4,Aviation & Aviation Infrastructure
585,616983,Kosamba Umarpada GC PROJECT,Ministry of Railways-,Gujarat,07/2023,07/2023,06/2027,-,467.58,467.58,70.54,16.0,Aviation & Aviation Infrastructure
586,617880,Desalpar-Hajipir-Luna and Vayor-Lakhpat New Line,Western Railway [WR] - II,Gujarat,09/2025,09/2025,09/2028,-,2526.47,2526.47,0.0,0.0,Aviation & Aviation Infrastructure
587,618972,Devbhumi Dwarka [Okha] - Kanalus Doubling,Western Railway [WR] - II,Gujarat,12/2025,12/2025,12/2028,-,1456.77,1456.77,0.0,0.0,Aviation & Aviation Infrastructure
588,705458,Miyagam-Karjan-Dabhoi-Samlaya [GC],Western Railway [WR] - II,Gujarat,01/2017,01/2017,03/2021,12/2026,483.88,1039.13,716.47,45.0,Aviation & Aviation Infrastructure
589,706757,Modasa-Shamlaji Road Railway Line Project,Western Railway WR - II,Gujarat,09/2012,04/2008,03/2025,03/2026,262.0,262.0,383.67,64.0,Aviation & Aviation Infrastructure
590,706763,Rajkot - Kanalus Doubling Project [111.2 Kms],Western Railway WR - II,Gujarat,10/2021,12/2021,10/2026,06/2026,1080.58,1080.58,952.06,81.0,Aviation & Aviation Infrastructure
591,709812,NADIAD-PETLAD [37.26 KM],Railway,Gujarat,05/2022,10/2023,06/2030,06/2030,461.91,461.91,186.78,8.0,Aviation & Aviation Infrastructure
592,709813,NEW BG LINE INTERSECTION [5 NOS] BETWEEN GERATPUR-SANAND & BOTAD-AHMEDABAD [16.51 KM],Western Railway [WR] - II,Gujarat,10/2022,07/2025,06/2028,10/2027,437.21,437.21,117.87,21.0,Aviation & Aviation Infrastructure
593,611884,Bhiwani - Dobh Bahali Doubling Project [42.30 Km],North Western Railway [NWR],Haryana,02/2023,02/2023,02/2028,02/2028,471.0,471.0,263.12,72.0,Aviation & Aviation Infrastructure
594,617372,Doubling between Pradhankunta-Patherih-Bhojudih of East Central Railway,East Central Railway [ECR] - I,Jharkhand,11/2022,11/2022,12/2025,03/2026,349.22,349.22,125.71,71.5,Aviation & Aviation Infrastructure
595,617832,Koderma-Arigada Doubling 133.38 Km of East Central Railway,East Central Railway [ECR] - I,Jharkhand,06/2025,06/2025,12/2029,-,2887.11,2887.11,0.0,0.0,Aviation & Aviation Infrastructure
596,705747,Parasnath-Madhuban-Giridih new line,East Central Railway [ECR] - I,Jharkhand,03/2019,03/2019,03/2024,03/2026,902.86,902.86,0.0,0.1,Aviation & Aviation Infrastructure
597,705765,Gomoh - Flyover for DN trains,East Central Railway [ECR] - I,Jharkhand,01/2018,01/2018,03/2026,03/2026,686.0,686.0,631.52,66.5,Aviation & Aviation Infrastructure
598,705785,Lodhma - Piska - Link Line bypassing Hatia/Ranchi with Y connection,South Eastern Railway [SER] - I,Jharkhand,08/2021,03/2019,06/2026,05/2027,473.0,473.0,306.22,10.0,Aviation & Aviation Infrastructure
599,706837,Pradhan Kuntha Jn Line Doubling Project,East Central Railway [ECR] - I,Jharkhand,11/2022,11/2022,11/2027,11/2027,349.22,349.22,125.71,71.5,Aviation & Aviation Infrastructure
600,400023,Construction of New BG line between Hassan to Belur [27 Km],South Western Railway [SWR] - II,Karnataka,03/2019,12/2025,04/2028,04/2027,749.0,749.0,0.94,0.3,Aviation & Aviation Infrastructure
601,703585,Yeshvanthpur - Channasandra Doubling Project [21.70 Km],Karnataka Rail Infrastructure Development Company Limited [K-RIDE],Karnataka,04/2019,10/2019,03/2024,03/2026,314.1,683.57,171.0,56.5,Aviation & Aviation Infrastructure
602,705434,New Railway Line between Ginigera and Raichur [165.57 km],South Western Railway [SWR] - II,Karnataka,03/2008,05/2009,03/2019,03/2027,2565.0,3034.98,2293.26,70.0,Aviation & Aviation Infrastructure
603,705464,Bangalore-Satyamanglam New Line Project [260 Km] - Part Hejjala - Chamarajanagar [142 Km],South Western Railway [SWR] - II,Karnataka,02/1999,07/2026,12/2031,-,1382.78,1382.78,0.0,0.0,Aviation & Aviation Infrastructure
604,705490,Gadag-Wadi New Railway Line [257 km],South Western Railway [SWR] - II,Karnataka,04/2013,08/2017,03/2027,12/2027,2842.0,6700.0,1539.51,34.5,Aviation & Aviation Infrastructure
605,705492,Kadur - Chickamagalur - Sakleshpur [93km],South Western Railway [SWR] - II,Karnataka,01/2014,11/2016,06/2025,12/2025,825.0,825.0,774.11,84.2,Aviation & Aviation Infrastructure
606,705493,Hubli-Ankola New Line Project [164.44 km],South Western Railway [SWR] - II,Karnataka,01/1999,01/2000,03/2005,03/2030,5174.0,5174.0,178.42,4.7,Aviation & Aviation Infrastructure
607,705495,Bagalkot-Kudachi New Railway Line [142 km],South Western Railway [SWR] - II,Karnataka,10/2013,11/2012,03/2027,01/2027,1378.0,1649.0,797.87,36.0,Aviation & Aviation Infrastructure
608,705496,Tumkur-Chitradurga-Davangere New Rail Line Project [191 km],South Western Railway [SWR] - II,Karnataka,10/2013,01/2017,03/2019,12/2027,1876.0,1876.0,563.37,15.5,Aviation & Aviation Infrastructure
609,705663,Bangalore-Whitefield-Bangalore City-Krishnarajapuram [23.08 km] - Quadrupling,South Western Railway [SWR] - II,Karnataka,02/2018,06/2022,02/2026,02/2026,493.0,493.0,318.39,85.5,Aviation & Aviation Infrastructure
610,705761,SHIMOGA - SHIKARIPURA - RANEBENNUR [96 Km],South Western Railway [SWR] - II,Karnataka,09/2019,02/2023,12/2027,06/2028,1454.0,1454.0,97.75,13.5,Aviation & Aviation Infrastructure
611,705762,Construction of New BG line between Hassan [Alur] to Belur [ Km 27.34],South Western Railway [SWR] - II,Karnataka,06/2019,09/2022,04/2027,12/2027,748.86,748.86,1.15,0.3,Aviation & Aviation Infrastructure
612,705941,Bangalore Suburban Railway Project,Karnataka Rail Infrastructure Development Company Limited [K-RIDE],Karnataka,10/2020,10/2020,12/2026,03/2030,15767.0,15767.0,3224.09,19.95,Aviation & Aviation Infrastructure
613,706835,Belgaum-Dharwad via Kittur [73.10Km],South Western Railway [SWR] - II,Karnataka,09/2020,03/2025,12/2027,03/2029,1591.0,1591.0,0.38,0.0,Aviation & Aviation Infrastructure
614,705638,Kumbalam-Turavur doubling project [15.59 Km],Ministry of Railways,Kerala,04/2023,04/2023,03/2027,03/2027,813.0,802.8,126.48,30.5,Aviation & Aviation Infrastructure
615,705639,Ernakulam-Kumbalam doubling project [7.71 Km],SR-ERS,Kerala,04/2023,04/2023,03/2028,02/2027,601.0,595.39,308.42,25.0,Aviation & Aviation Infrastructure
616,705480,Lalitpur-Satna Rewa-Singrauli & Mahoba-Khajuraho,North Central Railway,Madhya Pradesh,01/2007,03/1998,03/2027,12/2027,8914.0,8914.0,6806.95,74.0,Aviation & Aviation Infrastructure
617,705659,Satna-Rewa Railway Line Doubling Project,West Central Railway [WCR] - II,Madhya Pradesh,11/2015,08/2017,03/2026,03/2026,500.0,584.0,566.56,86.0,Aviation & Aviation Infrastructure
618,705660,Doubling of Katni - Singrauli Railway Line [261 km],Indian Railway Construction International Limited [IRCON],Madhya Pradesh,03/2016,03/2017,12/2025,12/2025,2445.0,4377.0,3306.78,81.1,Aviation & Aviation Infrastructure
619,705661,Katni Grade Separator/Bye Pass,Indian Railway Construction International Limited [IRCON],Madhya Pradesh,03/2016,09/2017,09/2024,09/2026,1248.0,1248.0,1817.51,95.0,Aviation & Aviation Infrastructure
620,705763,Indore - Budni New Railway Line [198 kms],RVNL - II,Madhya Pradesh,08/2019,10/2020,09/2030,09/2030,7474.0,7474.0,2529.21,36.0,Aviation & Aviation Infrastructure
621,705933,Nimach-Ratlam Doubling [133 Km],Western Railway [WR] - II,Madhya Pradesh,10/2021,10/2021,10/2027,10/2027,1095.88,1095.88,1284.91,94.0,Aviation & Aviation Infrastructure
622,400019,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS],Central Railway,Maharashtra,01/2019,04/2023,12/2026,09/2027,492.76,1170.83,519.29,25.0,Aviation & Aviation Infrastructure
623,400271,Wardha-Nanded Via Yavatmal New BG Line,Central Railway [CR] - II,Maharashtra,12/2017,04/2008,03/2025,12/2026,3445.0,3445.0,3002.93,50.0,Aviation & Aviation Infrastructure
624,611751,AURANGABAD-ANKAI - DOUBLING PROJECT 98.25 Km,South Central Railway [SCR] - II,Maharashtra,05/2023,05/2023,03/2027,-,960.64,960.64,1304.54,2.02,Aviation & Aviation Infrastructure
625,612845,Gauge Conversion of Pachora-Jamner with Extension upto Malkapur [Bodwad] [84.34 Kms],Central Railway [CR] - II,Maharashtra,08/2022,01/2026,07/2028,-,955.39,955.39,13.97,10.0,Aviation & Aviation Infrastructure
626,613015,Redevelopment of Chhatrapati Shivaji Maharaj Terminus [CSMT] and construction of associated infrastructure,Rail Land Development Authority,Maharashtra,04/2023,07/2023,03/2027,-,1813.0,1813.0,833.84,23.0,Aviation & Aviation Infrastructure
627,617201,Gondia-Balharshah [Chanda Fort] Doubling [240 Km],South East Central Railway,Maharashtra,04/2025,04/2025,03/2031,-,4373.04,4373.04,1.0,1.0,Aviation & Aviation Infrastructure
628,617215,Doubling between Parbhani Parli Vaijanath stations 64.71 Km,South Central Railway [SCR] - II,Maharashtra,12/2023,12/2023,03/2028,-,769.93,769.93,197.06,0.19,Aviation & Aviation Infrastructure
629,617361,Babupeth - Sasti New Rail Line [13.114 KMs],CentralRailway,Maharashtra,10/2024,10/2024,03/2028,-,362.81,362.81,0.48,0.0,Aviation & Aviation Infrastructure
630,617364,Double Chord line Between Nilaje-Kopar,CentralRailway,Maharashtra,01/2025,01/2025,07/2028,-,338.33,205.0,24.04,24.0,Aviation & Aviation Infrastructure
631,705356,Ahmednagar - Beed - Parli - Vaijnath New Broad Gauge Line Railway Project [261.3 km],Central Railway [CR] - II,Maharashtra,01/1999,10/2002,03/2026,03/2026,2538.67,4957.27,5180.78,98.0,Aviation & Aviation Infrastructure
632,705357,Baramati Lonand New Line Project,Central Railway,Maharashtra,03/2016,03/1999,03/2027,03/2027,138.48,1843.9,1007.49,60.0,Aviation & Aviation Infrastructure
633,705479,Wadsa-Gadchiroli,South East Central Railway,Maharashtra,05/2017,03/2012,03/2027,03/2027,1886.0,1886.0,809.55,66.0,Aviation & Aviation Infrastructure
634,705497,Wardha - Yavatmal Nanded Railway Line Project,Central Railways,Maharashtra,02/2008,04/2013,12/2026,-,3445.34,4030.69,3608.59,47.0,Aviation & Aviation Infrastructure
635,705498,3rd Line Kalyan - Kasara [67.35 Kilometres],Central Railway,Maharashtra,09/2015,09/2015,12/2026,12/2026,792.89,1395.79,1077.37,73.0,Aviation & Aviation Infrastructure
636,705500,3rd Line Wardha - Sewagram - Nagpur,Central Railway [CR] - II,Maharashtra,09/2015,05/2016,12/2025,10/2026,540.02,916.53,835.39,88.0,Aviation & Aviation Infrastructure
637,705502,3rd Line Wardha - Ballarshah [132 Kilometres],Central Railway [CR] - II,Maharashtra,03/2016,12/2016,12/2025,02/2026,1384.72,2033.59,1813.52,98.0,Aviation & Aviation Infrastructure
638,705504,Doubling of Daund Manmad Line [247.6 km],Central Railway,Maharashtra,10/2017,03/2017,12/2025,03/2026,2081.27,3267.06,3077.28,92.0,Aviation & Aviation Infrastructure
639,705505,4th Line Wardha - Nagpur [78.7 Kilometres],Central Railway [CR] - II,Maharashtra,04/2017,05/2018,12/2025,10/2026,637.95,1214.69,1047.02,88.0,Aviation & Aviation Infrastructure
640,705506,3rd Line Manmad - Jalgaon [160 Kilometres],Central Railway [CR] - II,Maharashtra,05/2017,04/2018,12/2024,08/2025,1035.16,1870.0,1865.44,100.0,Aviation & Aviation Infrastructure
641,705735,Solapur-tuljapur-Osmanabad,Central Railway,Maharashtra,08/2018,12/2023,03/2027,03/2028,904.92,3295.74,1216.56,12.0,Aviation & Aviation Infrastructure
642,705799,Nagpur- Nagbhir Railway Line Gauge Conversion Project,MRIDC,Maharashtra,10/2019,04/2020,12/2025,12/2025,1400.0,1400.0,1472.0,80.0,Aviation & Aviation Infrastructure
643,706779,Mumbai Urban Transport Project [MUTP] - PHASE II,Mumbai Rail Vikas Corporation Ltd.[MRVC],Maharashtra,05/2008,04/2008,03/2014,12/2027,8087.0,8087.0,7504.75,90.0,Aviation & Aviation Infrastructure
644,706780,Mumbai Urban Transport Project [MUTP] Phase-IIIA,Mumbai Rail Vikas Corporation Ltd.[MRVC],Maharashtra,04/2019,04/2019,12/2027,12/2027,33690.0,33690.0,3577.36,22.0,Aviation & Aviation Infrastructure
645,706781,Mumbai Urban Transport Project Phase-III,Mumbai Rail Vikas Corporation Ltd.[MRVC],Maharashtra,11/2016,12/2016,03/2022,12/2026,10947.0,10947.0,6609.95,75.0,Aviation & Aviation Infrastructure
646,705391,Jiribam-Imphal new line project,Northeast Frontier Railway [NFR],Manipur,03/2013,12/2007,12/2026,06/2029,14323.0,21885.9,16020.78,72.1,Aviation & Aviation Infrastructure
647,705396,Byrnihat-Shillong New Rail Line- 108 km,Northeast Frontier Railway [NFR],Meghalaya,04/2011,03/2010,03/2021,03/2027,8324.28,8342.28,266.12,2.04,Aviation & Aviation Infrastructure
648,705491,Marikuppam - Kuppam New Line Project [23.70 Km],South Western Railway [SWR] - II,Multi-States (Andhra Pradesh Karnataka),04/2012,10/2018,06/2026,06/2026,297.0,297.0,145.78,21.0,Aviation & Aviation Infrastructure
649,705494,Rayadurg-Tumkur via Kalyandurg New Line [207 km],South Western Railway [SWR] - II,Multi-States (Andhra Pradesh Karnataka),03/2008,07/2010,09/2015,02/2028,2496.0,2496.0,1898.7,72.0,Aviation & Aviation Infrastructure
650,705610,Renigunta Wadi & Gooty Bypass Railway Project,South Central Railway [SCR] - II,Multi-States (Andhra Pradesh Karnataka),04/2016,04/2016,12/2025,03/2026,302.0,543.0,635.72,89.03,Aviation & Aviation Infrastructure
651,617212,Doubling between Mudkhed Medchal & Mahbubnagar Dhone section 417.88 Km,South Central Railway [SCR] - II,Multi-States (Andhra Pradesh Maharashtra Telangana),08/2023,08/2023,03/2029,-,4686.09,4686.09,1938.02,2.08,Aviation & Aviation Infrastructure
652,400253,Vizianagaram - Titlagarh 3rd line [272 Km including By - pass line of 7.68 KM],RVNL - II,Multi-States (Andhra Pradesh Odisha),06/2016,11/2016,12/2025,12/2026,4803.0,6669.91,6211.43,97.0,Aviation & Aviation Infrastructure
653,705512,Doubling of Kottavalasa-Koraput Rail Line [189 KM],East Coast Railway [ECoR] - II,Multi-States (Andhra Pradesh Odisha),12/2015,01/2016,03/2022,03/2028,2500.0,2500.0,2163.97,73.0,Aviation & Aviation Infrastructure
654,400275,Tindivanam-Nagari New Line Project [184.5 km],Ministry of Railways,Multi-States (Andhra Pradesh Tamil Nadu),07/2008,10/2008,09/2025,03/2028,3631.0,3631.0,1259.7,16.5,Aviation & Aviation Infrastructure
655,616857,Doubling between Motumari Vishnupuram - 88.81 Km and Rail over Rail - RoR at Motumari - 10.877 Km,South Central Railway [SCR] - II,Multi-States (Andhra Pradesh Telangana),02/2024,03/2025,03/2029,-,1595.55,1595.55,212.11,2.04,Aviation & Aviation Infrastructure
656,617211,Doubling of Guntur Bibinagar 239 Km,South Central Railway [SCR] - II,Multi-States (Andhra Pradesh Telangana),08/2023,08/2023,03/2029,-,2853.23,2853.23,348.95,2.5,Aviation & Aviation Infrastructure
657,617214,Rail Connectivity to Errupalem Amravati Namburu 57 Km,South Central Railway [SCR] - II,Multi-States (Andhra Pradesh Telangana),11/2024,11/2024,03/2027,-,2047.4,2047.4,208.59,0.16,Aviation & Aviation Infrastructure
658,705612,Kazipet-Vijayawada 3rd line with electrification [220 km],South Central Railway [SCR] - II,Multi-States (Andhra Pradesh Telangana),03/2013,08/2014,02/2025,12/2025,1953.0,3363.0,5178.65,95.01,Aviation & Aviation Infrastructure
659,705632,Vijayawada - Kazipet Byepass line,South Central Railway [SCR] - II,Multi-States (Andhra Pradesh Telangana),04/2016,04/2016,01/2025,12/2025,647.0,904.0,1242.64,95.01,Aviation & Aviation Infrastructure
660,705401,Murkongselek-Pasighat,Northeast Frontier Railway [NFR] - II,Multi-States (Arunachal Pradesh Assam),02/2011,03/2023,03/2025,12/2026,435.0,1250.0,853.0,68.0,Aviation & Aviation Infrastructure
661,705394,Tetlia-Byrnihat New Railway Line,Northeast Frontier Railway [NFR],Multi-States (Assam Meghalaya),08/2010,03/2007,11/2011,06/2027,1304.62,1304.62,1254.47,86.16,Aviation & Aviation Infrastructure
662,616701,Lumding Furkating Doubling Project 140 km,Northeast Frontier Railway [NFR],Multi-States (Assam Nagaland),02/2024,01/2025,02/2028,-,2123.7,2123.7,121.34,10.0,Aviation & Aviation Infrastructure
663,705392,Dimapur [Dhansiri]-Sukhobi Kohima [Zubza] NL [82.5 Km],Northeast Frontier Railway [NFR] - II,Multi-States (Assam Nagaland),08/2015,02/2016,03/2025,12/2029,6663.0,6663.0,6282.3,43.0,Aviation & Aviation Infrastructure
664,705794,New Delhi- Howrah Speed Booster[160Kmph] Project,PCE/NCR,Multi-States (Bihar Delhi Jharkhand Uttar Pradesh West Bengal),09/2019,09/2019,03/2024,-,6684.81,6684.81,127.03,0.0,Aviation & Aviation Infrastructure
665,616699,Multi tracking of Son Nagar-Andal 374.53 rkm & 814.38 tkm,East Central Railway [ECR] - I,Multi-States (Bihar Jharkhand),08/2023,08/2023,03/2028,-,12333.57,12333.6,816.82,17.5,Aviation & Aviation Infrastructure
666,705375,Koderma-Tilaiya New Line,East Central Railway [ECR] - I,Multi-States (Bihar Jharkhand),11/2004,03/2002,02/2025,02/2026,1626.0,2486.62,2215.44,95.5,Aviation & Aviation Infrastructure
667,705385,Pirpainti - Jasidih [100.52 Km] New BG line,Eastern Railway [ER] - I,Multi-States (Bihar Jharkhand),03/2014,03/2022,03/2028,03/2028,2555.0,2555.0,1113.67,61.8,Aviation & Aviation Infrastructure
668,611669,NER Provision of Automatic Block Signalling on Gorakhpur Cantt[Excl] Chhapra Gramin & Burhwal Jn [Excl] Sitapur Jn section of high density routes,North Eastern Railway [NER],Multi-States (Bihar Uttar Pradesh),05/2022,06/2023,03/2027,03/2028,380.47,380.47,256.53,20.0,Aviation & Aviation Infrastructure
669,617224,Gorakhpur-Valmikinagar Doubling project,NER,Multi-States (Bihar Uttar Pradesh),08/2023,03/2024,12/2027,-,1120.0,1120.0,401.82,26.4,Aviation & Aviation Infrastructure
670,705562,Chhapra-Ballia Patch Doubling,North Eastern Railway [NER],Multi-States (Bihar Uttar Pradesh),03/2013,12/2015,02/2025,05/2026,963.0,1046.0,917.1,95.9,Aviation & Aviation Infrastructure
671,617245,Katihar Kumedpur & Katihar Mukuria BG Doubling Project,Northeast Frontier Railway [NFR],Multi-States (Bihar West Bengal),08/2022,08/2022,08/2026,02/2027,942.64,942.64,611.19,65.0,Aviation & Aviation Infrastructure
