Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),APR26 progress (%),Sector
102,615982,NILJAI EXPANSION DEEP OCP,Western Coalfields Limited [WCL],Maharashtra,08/2016,08/2016,03/2022,03/2026,319.75,319.75,196.86,79.83,Aviation & Aviation Infrastructure
103,616044,UKNI DEEP OC MINE -COST PLUS,Western Coalfields Limited [WCL],Maharashtra,11/2018,01/2019,03/2021,03/2026,237.06,237.06,166.87,93.51,Aviation & Aviation Infrastructure
104,616050,AMALGAMATED INDER-KAMPTEE DEEP,Western Coalfields Limited [WCL],Maharashtra,09/2018,09/2018,03/2024,03/2026,235.9,235.9,127.42,98.97,Aviation & Aviation Infrastructure
105,616223,ADASA UG TO OC MINE,Western Coalfields Limited [WCL],Maharashtra,11/2018,11/2018,03/2024,03/2026,316.0,316.0,209.35,86.49,Aviation & Aviation Infrastructure
106,616229,AMAL GONDEGAON GHATROHANA EXPN,Western Coalfields Limited [WCL],Maharashtra,09/2024,09/2024,03/2029,-,668.54,668.54,2.94,2.52,Aviation & Aviation Infrastructure
107,617233,WAGHODA UG MINE [1.02 MTY],Western Coalfields Limited [WCL],Maharashtra,01/2024,01/2025,03/2030,-,379.3,379.3,0.0,0.01,Aviation & Aviation Infrastructure
108,617278,KOLARPIMPRI EXPANSION OC [2.5,Western Coalfields Limited [WCL],Maharashtra,06/2024,02/2025,03/2030,-,630.37,630.37,0.61,0.35,Aviation & Aviation Infrastructure
109,619055,SAONER-III EXPN UG MINE 1.54,Western Coalfields Limited [WCL],Maharashtra,08/2025,08/2025,03/2032,-,444.42,444.42,0.0,0.0,Aviation & Aviation Infrastructure
110,400369,BINA KAKRI AMALGAMATION EXPANS,Northern Coalfields Limited [NCL],Multi-States (Madhya Pradesh Uttar Pradesh),08/2020,08/2020,03/2024,03/2027,836.42,836.42,835.34,89.9,Aviation & Aviation Infrastructure
111,615183,KHADIA EXPANSION [10 TO 16 MTP,Northern Coalfields Limited [NCL],Multi-States (Madhya Pradesh Uttar Pradesh),06/2021,06/2021,03/2025,03/2027,491.67,491.67,276.75,55.57,Aviation & Aviation Infrastructure
112,400165,SUBHADRA OCP,Mahanadi Coalfields Limited [MCL],Odisha,05/2021,05/2021,04/2032,-,1693.81,1693.81,1329.14,45.57,Aviation & Aviation Infrastructure
113,400166,SIARMAL OCP,Mahanadi Coalfields Limited [MCL],Odisha,02/2021,02/2021,03/2029,-,5194.95,5194.95,3490.38,59.5,Aviation & Aviation Infrastructure
114,400183,BALARAM EXPANSION OCP,Mahanadi Coalfields Limited [MCL],Odisha,08/2020,08/2020,03/2029,-,3504.21,3504.21,958.0,57.15,Aviation & Aviation Infrastructure
