Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Actual Date of Completion (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),Sector
1,707267,Upgradation of Sewerage system in Gandhinagar City,ministry of housing and urban affairs,Gujarat,07/2020,03/2021,03/2026,06/2023,-,200,-,100,Waste & Water
2,702735,Sewerage Management Scheme Part-3 Implementation,Ministry of Housing & Urban Affairs,Haryana,03/2017,10/2018,04/2026,03/2023,04/2026,213.19,-,180.32,Waste & Water
3,702764,24/7 water supply under AMRUT for Davanagere,Ministry of Housing & Urban Affairs,Karnataka,11/2016,01/2018,05/2026,03/2023,05/2026,174.96,-,171.6,Waste & Water
4,702798,Jabalpur Sewerage Management and Treatment Infrastructure Project,Ministry of Housing & Urban Affairs,Madhya Pradesh,10/2018,12/2017,04/2026,03/2023,04/2026,362.31,-,332.05,Waste & Water
5,612178,"Construction of 100 Bedded ESIC Hospital building and 32 Nos Residential Quarters at Vallam Vadangal, SIPCOT, Sriperumbudur",Employee's State Insurance Company [ESIC],Tamil Nadu,02/2015,03/2023,05/2026,06/2025,05/2026,152.95,177.01,130.22,Healthcare
6,612151,Transmission System for Evacuation of Power from potential Renewable Energy zone in Khavda Area of Gujarat under Phase IV [7 GW] Part E3,Power Grid Corporation of India Limited [POWERGRID],Gujarat,07/2023,07/2023,04/2026,07/2025,04/2026,334,-,334,Transmission & Distribution
7,611951,Transmission system for evacuation of power from REZ in Rajasthan 20GW under Phase-III Part E1,Power Grid Corporation of India Limited [POWERGRID],Rajasthan,12/2021,08/2023,04/2026,02/2025,04/2026,688.74,-,688.74,Transmission & Distribution
8,705503,Pune - Miraj-Londa [467 Kilometres],Central Railway,Maharashtra,06/2016,06/2016,NA,02/2025,08/2025,4027.53,4872.52,4924.05,Railways
9,618555,"Flyover at Km.544.650 including ROB, Service Roads ,Footpath for RCC drains on urban link to Nagpur -Raipur road Pardi octroi Naka to Itwari",National Highways Authority of India [NHAI],Maharashtra,12/2015,03/2016,NA,03/2019,04/2026,1097.81,758.4,316.23,Roads & Highways
