Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Actual Date of Completion (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),Sector
1,709761,HP Trijet Unit in Visakh Refinery,Hindustan Petroleum Corporation Limited,Andhra Pradesh,07/2024,07/2024,11/2025,07/2027,11/2025,193,193,0.43,Oil & Gas
2,612998,Bathinda Sangrur Pipeline,Ministry of Petroleum and Natural Gas,Punjab,11/2021,11/2021,10/2015,05/2024,10/2025,367,397,355.93,Oil & Gas
3,611938,Vijapur Ambliyasan Gauge Conversion,Western Railway (WR) - II,Gujarat,05/2022,05/2022,10/2025,05/2026,10/2025,415.38,415.38,701.04,Railways
4,611939,Himmatnagar Khedbrahma Gauge Conversion,Western Railway (WR) - II,Gujarat,06/2022,04/2017,08/2025,06/2001,08/2025,482.42,482.42,894.4,Railways
5,705566,Domingarh-Gorakhpur-Gorakhpur Cantt.-Kusumhi - 3rd Railway Line Project,North Eastern Railway [NER],Uttar Pradesh,11/2016,06/2018,09/2025,02/2025,09/2025,351,521.47,499.64,Railways
6,705863,Bahraich - Nanpara - Nepalganj Road Gauge Conversion,North Eastern Railway [NER],Uttar Pradesh,07/2020,04/2021,09/2025,07/2025,09/2025,950,550,507.02,Railways
