Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),MAY25 progress (%),Sector
907,N24001521,VADODARA MUMBAI EXPRESSWAY (PHASE II - PKG XV) [KM. 20.200 TO KM. 43.000 OF SPUR] (AKLOLI - AMNE),NHAI,LADAKH,11-2022,10/2024,Jul-2025,990.00,-,406.91,73.00,POWER
908,N24001546,6L OF KAGAL-SATARA SECTION FROM KM 592.240 TO KM 658.000 OF NH-48 (PKG-I),NHAI,LADAKH,1-2023,1/2025,-,"1,025.20",-,453.39,44.22,POWER
909,N24001607,BALANCE WORKS OF 4L PANVEL-INDAPUR SECTION OF NH-66 (OLD NH-17) FROM KM 42.300 (KASU) TO KM 84.600 (,NHAI,LADAKH,10-2022,5/2024,Dec-2025,332.00,-,273.33,64.63,POWER
910,N24001608,VADODARA MUMBAI EXPRESSWAY (PHASE II - PKG XVII) [KM. 69.800 TO KM. 79.783 OF SPUR] (BHOJ - MORBE),NHAI,LADAKH,9-2021,7/2025,-,"2,208.68",-,565.20,74.50,POWER
911,N24001609,BALANCE WORK OF 4 LANING OF PANVEL TO INDAPUR SECTION OF NH-66(OLD NH- 17) FROM KM 0.000 (PANVEL) TO,NHAI,LADAKH,1-2023,12/2023,Jun-2025,151.26,-,153.77,86.38,POWER
912,N24001610,4L OF EXISTING 2/4L STRETCH FROM LONAND TO DIVE GHAT (KM 166.400 TO KM 220.900 ) OF MOHOL ? ALANDI S,NHAI,LADAKH,1-2022,5/2024,Mar-2025,"1,833.73",-,539.18,95.64,POWER
913,N24001795,FOUR LANING OF AURANGABAD-PAITHAN SECTION OF NH-752E ON EPC MODE IN THE STATE OF MAHARASHTRA .,NHAI,LADAKH,10-2022,7/2024,Jun-2025,490.40,-,275.78,95.00,POWER
914,N24001796,4L OF RAJURA-KORPANA-ADILABAD ROAD UPTO M.S. BORDER FROM KM 32.910 TO KM 89.090 OF NH-353B,NHAI,LADAKH,3-2022,10/2024,Apr-2025,"1,013.33","1,013.33",355.07,62.01,POWER
915,N24001797,6L OF WAINGANGA BRIDGE - BHANDARA (INCLUDING BHANDARA BYPASS) SECTION FROM KM 485.000 TO KM 499.800,NHAI,LADAKH,10-2021,1/2024,-,815.77,-,732.70,100.00,POWER
916,N24001798,4L MITIGATION MEASURE STRUCTURES ON CH/MH BORDER TO WAINGANGA BRIDGE SECTION OF NH-53,NHAI,LADAKH,2-2021,11/2023,-,540.21,-,457.05,100.00,POWER
917,N24001799,4L OF NAGPUR-KATOL SECTION FROM KM. 13.00 TO KM. 62.900 OF NH-353J,NHAI,LADAKH,2-2021,10/2023,-,"1,166.96",-,"1,078.65",81.00,POWER
918,N24001804,BAL. WORKS OF FAGNE (KM. 510.000) TO MAHARASHTRA/GUJARAT BORDER (KM. 650.794),NHAI,LADAKH,12-2019,9/2022,Jun-2024,"1,654.07",-,887.38,95.75,POWER
919,N24001834,4L OF RATNAGIRI - KOLHAPUR SECTION FROM KM 67.140 TO KM 112.340 OF NH-166 (PKG ? II),NHAI,LADAKH,5-2023,5/2025,-,839.00,-,441.05,56.50,POWER
920,N24001835,4L OF RATNAGIRI - KOLHAPUR SECTION FROM KM 112.340 TO KM 145.300 OF NH-166 (PKG?III),NHAI,LADAKH,5-2023,5/2025,-,986.00,-,508.04,54.60,POWER
921,N24001880,REHABILITATION AND UP-GRADATION TO 4 LANE ROAD WITH PAVED SHOULDER CONFIGURATION OF SECTION FROM UND,MoRTH,LADAKH,3-2022,7/2025,-,778.18,-,135.78,N.A.,POWER
922,N24001882,CONSTRUCTION OF NEW FOUR LANE BYPASS TO PARBHANI CITY (PARWA TO ASOLA) KM 463/265 TO KM 481/180 (DES,MoRTH,LADAKH,3-2022,10/2024,-,496.64,-,0.00,8.00,POWER
923,N24001883,CONSTRUCTION OF 4 LANE FLYOVER AT NAGPUR RTO CHOWK TO NAGPUR UNIVERSITY CAMPUS FROM CH 2/250 TO 5/10,MoRTH,LADAKH,3-2021,3/2024,-,478.83,-,233.48,65.00,POWER
924,N24001884,REHABILITATION AND UPGRADATION OF SATANA TO MANGRUL (CHANDWAD) SECTION OF NH752 G DESIGN CH: KM 64.0,MoRTH,LADAKH,3-2023,5/2025,-,428.80,-,54.11,30.69,POWER
925,N24001885,REHABILITATION AND UP-GRADATION OF JINTUR- SHIRAD SHAHAPUR SECTION KM 258.300 TO KM 306.300 [DESIGN,MoRTH,LADAKH,2-2023,12/2024,-,414.81,-,0.00,N.A.,POWER
926,N24001886,DEVELOPMENT/WIDENING OF TALEGAON ? CHAKAN ? SHIKRAPUR ? NHAVARA SECTION OF NH 548DG (NHAVARA TO CHOU,MoRTH,LADAKH,10-2022,8/2024,-,304.68,-,97.09,59.00,POWER
927,N24001887,REHABILITATION AND UPGRADATION OF BHOKARDAN TO KUMBHARI FATA DESIGN CH. (KM 13+500 TO 17+00) AND RAJ,MoRTH,LADAKH,8-2022,6/2024,-,291.37,-,102.94,78.44,POWER
928,N24001888,"UP-GRADATION OF TIRORA-GONDIA, STATE HIGHWAY FROM EXISTING KM 163+213 (ON SH-335, TIRORA) TO KM 191+",MoRTH,LADAKH,8-2021,4/2023,-,288.14,-,63.01,46.31,POWER
929,N24001889,2 LANE + PS PIMPLNER TO SATANA - [DESIGN CHAINAGE KM 21.427 TO 64.00 ] OF NH-752G],MoRTH,LADAKH,9-2019,7/2021,-,277.81,-,148.68,90.00,POWER
930,N24001890,REHABILITATION AND UPGRADATION OF PARLI TO SIRSALA SECTION OF NH-361F (KM 136+700 TO 115+000) (LENGT,MoRTH,LADAKH,2-2023,12/2024,-,261.82,-,70.59,46.00,POWER
931,N24001891,BALANCE WORK OF REHABILITATION AND UP-GRADATION TO NH-166F FROM MAHAD JUNCTION (AT KM 123/400 ON NH-,MoRTH,LADAKH,7-2021,11/2023,-,256.54,-,80.10,60.00,POWER
932,N24001892,REHABILITATION AND UPGRADATION OF SHIRAPUR JUNCTION TO SHIVAJI CHOWK (DESIGN CHAINAGE KM. 130+00 TO,MoRTH,LADAKH,2-2023,12/2024,-,245.61,-,43.39,33.00,POWER
933,N24001894,2 LANE + PS ASTHAMODE - TIVATYAL [DESIGN CH. KM 24.300 - 62.00] [KM 134.98- 172.95 OF NH-63],MoRTH,LADAKH,9-2019,7/2021,-,228.82,-,144.54,95.44,POWER
934,N24001895,REHABILATION AND UPGRADATION TO TWO LANES WITH PAVED SHOULDER CONFIGURATION FROM WATUR TO CHARTHANA,MoRTH,LADAKH,11-2021,9/2023,-,228.01,-,103.01,99.00,POWER
935,N24001896,UPGRADATIOBN AND REHABILITATION OF SECTION OF NH 361 F FROM PARLI (00/000) TO GANGAKHED (30/400) TO,MoRTH,LADAKH,11-2021,9/2023,-,224.44,-,75.34,45.63,POWER
936,N24001902,REHABILITATION AND UP-GRADATION OF SABALKHED TO ASHTI SECTION FROM KM 37+900 TO KM 55+100 AND CHINCH,MoRTH,LADAKH,12-2022,9/2024,-,213.32,-,20.00,34.00,POWER
937,N24001903,REHABILITATION AND UP-GRADATION OF MUDKHED TO NANDED SECTION FROM KM. 372+000 TO KM 388+400 OF NH 16,MoRTH,LADAKH,8-2022,4/2025,-,206.54,-,21.36,N.A.,POWER
938,N24001904,KOPARGAON TO SAVALI VIHIR SECTION,MoRTH,LADAKH,9-2022,7/2024,-,195.38,-,29.59,19.76,POWER
939,N24001905,"CONSTRUCTION OF MAJOR BRIDGE ACROSS MANJRA RIVER NEAR YESGI VILLAGE @ KM, 166/500 ON NH 63 TQ BILOLI",MoRTH,LADAKH,10-2021,8/2023,-,188.69,-,111.26,95.80,POWER
940,N24001906,UP-GRADATION TO 4 LANING OF DAULTABAD T-POINT TO MALIWADA [FROM DESIGN KM.0.000 TO KM 4.000] AND UPG,MoRTH,LADAKH,8-2022,3/2024,-,185.59,-,63.56,48.00,POWER
941,N24001907,"CONSTRUCTION OF SIX LANE FLYOVER AT KATRAJ JUNCTION AT KM, 3/880 OF NH 548- DD (VADGAON - KATRAJ - KO",MoRTH,LADAKH,6-2021,2/2024,-,169.15,-,36.94,35.96,POWER
942,N24001908,UPGRADATION OF EXHISTING 2 LANE FLEXIBLE PAVEMENT TO 2 LANE PAVED SHOULDERS RIGID PAVEMENT FROM DESI,MoRTH,LADAKH,12-2021,5/2024,-,167.97,-,35.28,36.76,POWER
943,N24001909,"STRENGTHING AND WIDINING OF EXISTING CARRIAGEWAY TO 10 M IN KM, 156/160 TO 229/160 (TEMBHURNI - KUSL",MoRTH,LADAKH,11-2021,6/2024,-,157.72,-,55.38,90.41,POWER
944,N24001910,REHABILITATION AND UPGRADATION OF JAMKHED TO SAUTADA SECTION OF NH548 D (FROM KM 195.375 TO KM 208.7,MoRTH,LADAKH,9-2022,7/2024,-,157.62,-,13.86,17.03,POWER
