Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),MAY25 progress (%),Sector
1,N04000073,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",AAI,ANDAMAN AND,10-2013,9/2018,Jun-2023,417.23,707.73,698.80,100.00,"CIVIL
AVIATION"
2,N22000584,LUDHIANA KILA RAIPUR (19 KMS) WITH FREIGHT LINE AT GILL STATION ON LDH- JHL SECTION,NR,"NICOBAR
ISLANDS",3-2019,3/2025,Dec-2025,235.72,-,55.79,55.00,RAILWAYS
3,N24000745,"2 LANE WITH HARD SHOLDER , REHABILITATION AND UP GRADATION OF SECTION FROM KM 242.0 TO KM 298.0 OF N",NHIDCL,"NICOBAR
ISLANDS",3-2017,12/2019,Mar-2023,409.85,-,214.23,95.10,"ROAD
TRANSPORT
AND
HIGHWAYS"
4,N24000749,REHABILITATION AND UP GRADATION OF SECTION FROM KM 206.00 TO KM 242.00 (NIMBUTALA TO AUSTIN CREEK) O,NHIDCL,"NICOBAR
ISLANDS",3-2018,9/2020,Nov-2022,234.27,-,126.50,82.97,"ROAD
TRANSPORT
AND
HIGHWAYS"
5,N24000820,Rehabilitation and up gradation to 2 lane with paved shoulder configuration from existing km. 122.00,MoRTH,"NICOBAR
ISLANDS",11-2017,11/2019,-,237.80,-,222.13,98.00,"ROAD
TRANSPORT
AND
HIGHWAYS"
6,N24000821,RECONSTRUCTION WITH GEOMETRIC IMPROVEMENT OF EXISTING 2 LANE/INTERMEDIATE LANE TO 2LANE WITH PAVED S,MoRTH,"NICOBAR
ISLANDS",11-2017,11/2019,-,257.34,-,214.90,100.00,"ROAD
TRANSPORT
AND
HIGHWAYS"
7,N24001008,AJANTHA TO BULDHANA,MoRTH,"NICOBAR
ISLANDS",2-2017,7/2019,-,401.00,401.00,260.08,97.00,"ROAD
TRANSPORT
AND
HIGHWAYS"
8,N24002207,MAJOR BRIDGE OVER MIDDLE STRAIT CREEK,NHIDCL,"NICOBAR
ISLANDS",12-2024,2/2026,-,371.80,207.99,0.00,4.68,"ROAD
TRANSPORT
AND
HIGHWAYS"
9,N24002208,PACKAGE-3A,NHIDCL,"NICOBAR
ISLANDS",2-2018,9/2025,Mar-2024,207.54,154.01,16.21,39.27,"ROAD
TRANSPORT
AND
HIGHWAYS"
10,N24002209,PACKAGE-3B,NHIDCL,"NICOBAR
ISLANDS",2-2018,11/2025,-,183.47,-,17.36,32.38,"ROAD
TRANSPORT
AND
HIGHWAYS"
11,N04000091,C/O OF NITB AND ASSOCIATED WORK AT VIJAYAWADA AIRPORT,AAI,"NICOBAR
ISLANDS",4-2020,3/2023,Aug-2025,611.80,-,444.75,74.00,"ROAD
TRANSPORT
AND
HIGHWAYS"
12,N04000103,RAJAHMUNDRY AIRPORT: CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS INCLUD,AAI,"NICOBAR
ISLANDS",12-2022,8/2025,-,347.15,347.15,75.17,44.50,"ROAD
TRANSPORT
AND
HIGHWAYS"
13,N04000106,KADAPPA AIRPORT- CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS INCLUDING MA,AAI,"NICOBAR
ISLANDS",3-2023,1/2026,Jan-2026,265.91,265.91,39.49,27.00,"ROAD
TRANSPORT
AND
HIGHWAYS"
14,N42000005,CONSTRUCTION OF PERMANENT CAMPUS FOR INDIAN INSTITUTE OF TECHNOLOGY TIRUPATI AT MERLAPAKA VILLAGE YE,CPWD EDUCATION,"NICOBAR
ISLANDS",2-2019,6/2020,-,655.34,-,366.21,95.00,DEPARTMENT
15,N42000007,"CONSTRUCTION OF PERMANENT CAMPUS FOR IISER AT JANGALAPALLI VILLAGE, YERPEDU MANDAL, CHITTOOR DISTRIC",CPWD EDUCATION,"NICOBAR
ISLANDS",9-2019,9/2022,-,588.72,656.39,630.55,100.00,"OF HIGHER
EDUCATION"
16,N16000247,KG-DWN-98-2 CLUSTER II DEVELOPMENT PROJECT,ONGC,"NICOBAR
ISLANDS",3-2016,6/2020,Mar-2025,"34,012.00",-,"33,149.29",96.40,"OF HIGHER
EDUCATION"
17,N16000432,HP CRUDE TO OLEFINS AND AROMATICS TECHNOLOGY DEMO UNIT AT VISAKH REFINERY,HPCL,"NICOBAR
ISLANDS",9-2021,6/2024,Mar-2026,160.00,220.00,50.04,58.30,"OF HIGHER
EDUCATION"
18,N16000485,"CGD PROJECT AT KURNOOL, GUNTUR AND PRAKASAM DISTRICTS",IOCL,"NICOBAR
ISLANDS",3-2022,3/2030,-,"1,420.00",-,152.86,6.10,"OF HIGHER
EDUCATION"
19,N16000499,MULTI-PRODUCT PIPELINE FROM KRISHNAPATNAM COASTAL INSTALLATION TO THE PROPOSED INSTALLATION AT HYDER,BPCL,"NICOBAR
ISLANDS",9-2019,3/2025,-,"1,932.00",-,"1,491.65",92.60,"OF HIGHER
EDUCATION"
20,N16000535,HP TRIJET UNIT IN VR,HPCL,"NICOBAR
ISLANDS",7-2024,7/2027,-,193.00,-,0.38,23.00,"OF HIGHER
EDUCATION"
21,N16000538,CONSTRUCTION OF AVIATION FUEL FARM FACILITIES AT BHOGAPURAM AIRPORT,HPCL,"NICOBAR
ISLANDS",8-2024,3/2026,-,240.00,-,19.32,35.30,"OF HIGHER
EDUCATION"
22,N16000539,VISAKHA RAIPUR PIPELINE PROJECT,HPCL,"NICOBAR
ISLANDS",9-2024,9/2027,-,"2,212.00",-,4.32,4.73,"OF HIGHER
EDUCATION"
23,N18000380,TRANSMISSION SCHEME FOR SOLAR ENERGY ZONE IN ANANTHPURAM (2500MW) AND KURNOOL (1000MW),PGCIL,"NICOBAR
ISLANDS",9-2023,3/2025,-,"1,249.00",-,568.70,56.70,POWER
24,N18000395,AUGMENTATION OF 1500MVA 3RD 765/400KV TRANSFORMATION CAPACITY AT KURNOOL NEW SUBSTATION,PGCIL,"NICOBAR
ISLANDS",5-2023,9/2025,-,164.00,-,60.00,21.00,POWER
25,N18000413,TRANSMISSION SYSTEM FOR INTEGRATION OF KURNOOL-IV REZ PHASE- I (FOR 4.5 GW),PGCIL,"NICOBAR
ISLANDS",3-2025,3/2027,-,"5,000.00",-,0.00,N.A.,POWER
26,N18000416,TRANSMISSION SYSTEM STRENGTHENING AT KURNOOL- III PS FOR INTEGRATION OF ADDITIONAL RE GENERATION PRO,PGCIL,"NICOBAR
ISLANDS",3-2025,3/2027,-,"2,886.00",-,0.00,N.A.,POWER
27,220100265,KOTLPALLI-NARASAPUR (NL) (SCR),SCR,"NICOBAR
ISLANDS",12-2001,3/2028,-,"2,500.98",-,"1,141.44",18.00,POWER
28,N22000286,NADIKUDE-SRI KALAHASTI,SCR,"NICOBAR
ISLANDS",4-2011,5/2027,-,"2,312.00",-,"1,935.77",35.00,POWER
29,N22000368,GUNTUR-GUNTAKAL,SCR,"NICOBAR
ISLANDS",4-2016,12/2025,-,"3,733.37",-,"3,534.39",N.A.,POWER
30,N22000369,VIJAYAWADA-GUDUR,RVNL,"NICOBAR
ISLANDS",4-2015,11/2024,-,"6,654.00",-,"5,883.89",N.A.,POWER
31,N22000377,KOTTAVALSA - KORAPUT DOUBLING,ECOR,"NICOBAR
ISLANDS",4-2015,3/2022,-,"2,499.71",-,"1,950.16",70.00,POWER
32,N22000555,"PENUKONDA-DHARMAVARAM, EXCL. DHARMAVARAM (41.5 KM)",SWR,"NICOBAR
ISLANDS",4-2019,3/2026,-,294.67,307.66,206.80,60.00,POWER
33,N22000556,MALUGUR-PALASAMUDRAM (17.98 KM) (PB#29/NR/2022-23),SWR,"NICOBAR
ISLANDS",9-2022,12/2025,-,323.14,342.41,46.89,12.00,POWER
34,N22000585,DOUBLING BETWEEN GOOTY-PENDAKALLU (29.225),SCR,"NICOBAR
ISLANDS",3-2023,3/2027,-,351.83,-,0.00,N.A.,POWER
35,N22000586,VIJAYAWADA KAZIPET BYEPASS LINE,SCR,"NICOBAR
ISLANDS",4-2016,12/2025,-,647.37,-,242.64,N.A.,POWER
36,N22000587,RENIGUNTA WADI GOOTY - BYPASS,SCR,"NICOBAR
ISLANDS",4-2016,12/2025,-,302.00,-,219.08,50.00,POWER
37,N24000301,REHABILITATION AND UPGRADATION OF NH-219 FROM KM 58-600 TO KM 140-750 IN THE STATE OF ANDHRA PRADES,MoRTH,"NICOBAR
ISLANDS",3-2015,10/2015,May-2021,271.45,-,238.23,100.00,POWER
38,N24000811,CONSTRUCTION OF SIX LANING OF DEDICATED PORT ROAD TO KRISHNAPATNAM PORT (PACKAGE-I) KM 0+000 TO KM 1,NHAI,"NICOBAR
ISLANDS",3-2018,12/2020,Dec-2022,314.43,-,85.61,69.64,POWER
39,N24000931,REHABILITATION AND UPGRADATION OF EXISTING NH-167 FROM KM 14.900 TO KM 70.00 (DESIGN CH.14.900 TO 69,MoRTH,"NICOBAR
ISLANDS",11-2016,5/2017,-,290.15,-,205.02,90.00,POWER
40,N24000937,REHABILITATION AND UPGRADATION OF NEW NH-544DD FROM DESIGN CHAINAGE KM 56.00 TO 102.20 OF KALYANDURG,MoRTH,"NICOBAR
ISLANDS",3-2018,8/2018,-,289.67,290.00,254.19,98.50,POWER
41,N24000964,CONSTRUCTION OF TIMMAPURAM TO GURJANAPALLE SECTION FROM KM 26.150 TO 41.161 OF NH-214(NH216)(KAKINAD,MoRTH,"NICOBAR
ISLANDS",8-2016,1/2017,-,350.61,-,407.92,98.20,POWER
42,N24000969,CONSTRUCTION OF 2L+PS FROM PASARLAPUDI-DHINDI (105/700 TO 127.500 OF NH-214) OF NH-216,MoRTH,"NICOBAR
ISLANDS",1-2017,9/2017,-,263.45,-,208.15,85.00,POWER
43,N24001301,6-LANING OF VIJAYAWADA BYPASS FROM GOLLAPUDI (DESIGN CH. 30+000) TO CHINNAKAKANI (DESIGN CH. 47+881),NHAI,"NICOBAR
ISLANDS",11-2019,1/2024,-,"1,601.10",-,"1,425.64",91.05,POWER
44,N24001386,REHABILITATION AND UPGRADATION TO 2- LANE WITH PAVED SHOULDERS CONFIGURATION OF PADERU-GONDIGUDA SECT,MoRTH,"NICOBAR
ISLANDS",8-2020,3/2021,-,222.61,-,120.46,95.00,POWER
45,N24001476,CONSTRUCTION OF 4 LANE ACCESS CONTROLLED NEW GREENFIELD HIGHWAY SECTION OF NH 365BG FROM RECHARLA VI,NHAI,"NICOBAR
ISLANDS",9-2021,9/2022,Sep-2024,517.05,-,520.94,91.97,POWER
46,N24001477,CONSTRUCTION OF 4 LANE ACCESS CONTROLLED NEW GREENFIELD HIGHWAY SECTION OF NH-365BG (KHAMMAM- DEVARAP,NHAI,"NICOBAR
ISLANDS",9-2021,9/2022,Sep-2024,622.00,-,541.73,75.96,POWER
47,N24001817,6L OF CHILKARARUPET BYPASS FROM KM. 357.400 TO KM. 371.920 OF NH-16,NHAI,"NICOBAR
ISLANDS",2-2019,3/2023,Oct-2024,757.45,-,607.76,99.41,POWER
48,N24001818,6L OF PONDAVAKKAM TO KANNIGAIPAIR FROM KM 96.040 TO KM 116.100 OF NH 716B (PKG-IV),NHAI,"NICOBAR
ISLANDS",2-2021,1/2025,-,818.73,-,563.32,24.92,POWER
49,N24001819,6L OF VEERA KAVERI RAJA PURAM TO PONDAVAKKAM FROM KM 61.380 TO KM 96.040 OF NH 716B (PKG-III),NHAI,"NICOBAR
ISLANDS",3-2021,1/2025,-,"1,102.63",-,"1,107.66",94.17,POWER
50,N24001820,6L OF VARADHARAJULA TO KUMARAJAPET FROM KM 0.000 TO KM 43.800 OF NH-716B (PKG-I),NHAI,"NICOBAR
ISLANDS",2-2021,12/2024,-,"1,484.83",-,"1,523.09",91.85,POWER
51,N24001821,BANGALORE CHENNAI EXPRESSWAY (PHASE-II PKG-III) FROM KM.127.000 TO KM 156.000 (BANGARUPALEM TO GUDIP,NHAI,"NICOBAR
ISLANDS",11-2020,10/2024,-,"1,137.74",-,"1,256.44",97.10,POWER
52,N24001822,BANGALORE CHENNAI EXPRESSWAY (PHASE-II PKG-I) FROM KM.71.000 TO KM 96.000 (BETHAMANGALA IN THE STATE,NHAI,"NICOBAR
ISLANDS",12-2020,10/2024,-,"1,075.27",-,"1,100.55",84.80,POWER
53,N24001823,4L OF MADANAPALLE TO PILERU SECTION FROM KM 0.000 TO KM 55.900 OF NH- 71(PACKAGE-I) - N/05060/01002/A,NHAI,"NICOBAR
ISLANDS",1-2022,1/2025,Jan-2023,"1,852.12",-,777.18,90.00,POWER
54,N24001824,RENIGUNTA - POYYA - NAIDUPETA KM 124.60 TO KM 183.4 OF NH 71 - N/04027/06001/AP,NHAI,"NICOBAR
ISLANDS",3-2020,1/2024,Dec-2024,"1,863.09",-,"1,227.61",98.76,POWER
55,N24001836,6L KANTAKAPALLE ? SABBAVARAM SECTION OF NH-130CD ROAD FROM KM 445.100 TO KM 464.662 (PKG-4),NHAI,"NICOBAR
ISLANDS",2-2021,10/2024,-,824.29,-,514.33,75.54,POWER
56,N24001837,6L JAKKUVA ? KORLAM SECTION OF NH- 130CD ROAD FROM KM 396.800 TO KM 421.100 (PKG 2),NHAI,"NICOBAR
ISLANDS",2-2021,3/2024,Jul-2024,663.60,-,463.08,98.80,POWER
57,N24001838,6L ALURU - JAKKUVA SECTION OF NH- 130CD ROAD FROM KM 365.033 TO KM 396.800 (PKG. 1),NHAI,"NICOBAR
ISLANDS",2-2021,3/2024,-,922.50,-,534.48,84.03,POWER
58,N24001841,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM KODUR 0.000 KMS TO VANAVOLU 24.300 KMS OF NH 544G PACKA,NHAI,"NICOBAR
ISLANDS",12-2022,9/2025,-,912.94,-,238.71,57.40,POWER
59,N24001842,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM VANAVOLU 24.300 KM. TO VANKARAKUNTA 45.700 KM. OF NH 5,NHAI,"NICOBAR
ISLANDS",12-2022,11/2025,-,750.81,-,145.15,49.10,POWER
60,N24001843,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM VANKARAKUNTA 45.700 KM. TO ODULAPALLE 72.000 KM. OF NH,NHAI,"NICOBAR
ISLANDS",12-2022,11/2025,-,992.89,-,197.36,43.90,POWER
61,N24001844,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM ODULAPALLE 72.000 KM. TO NALLACHERUVUPALLI 96.300 KM.,NHAI,"NICOBAR
ISLANDS",12-2022,10/2025,-,"1,058.90",-,249.94,45.04,POWER
62,N24001845,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM NALLACHERUVU PALLI 96.300 KM. TO YERRAGUDIPADU 129.000,NHAI,"NICOBAR
ISLANDS",2-2023,10/2025,-,"1,253.24",-,156.38,20.09,POWER
63,N24001846,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM YERRAGUDIPADU 129.000 KM. TO AUDIREDDIPALLE 160.000 KM.,NHAI,"NICOBAR
ISLANDS",2-2023,10/2025,-,"1,200.42",-,98.18,7.20,POWER
64,N24001847,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM AUDIREDDIPALLE 160.000 KM. TO MALLAPALLE 176.000 KM. PA,NHAI,"NICOBAR
ISLANDS",1-2023,11/2025,-,956.14,-,215.17,40.20,POWER
65,N24001848,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM MALLAPALLE 176.000 KM. TO KAVULAKUNTLA 196.000 KM. PACK,NHAI,"NICOBAR
ISLANDS",2-2023,10/2025,-,909.02,-,129.52,18.10,POWER
66,N24001849,4L PS MYDUKUR BADVEL FROM KM 585.820 TO KM 630.960 SECTION OF NH 67,NHAI,"NICOBAR
ISLANDS",5-2022,7/2025,-,"1,063.72",-,467.74,77.09,POWER
67,N24001856,CONSTRUCTION OF 4-LANE HIGHWAY FROM SAMARLAKOTA TO ACHAMPETA JUNCTION (FROM KM. 0.000 TO KM. 12.250,NHAI,"NICOBAR
ISLANDS",5-2023,8/2025,-,648.75,-,240.26,60.74,POWER
68,N24001932,2L+PS FROM KM. 0+000 TO KM. 32+000 (MUDIGUBBA TO PUTTAPARTHI) OF NH-342,MoRTH,"NICOBAR
ISLANDS",3-2022,9/2024,-,401.72,-,139.07,80.00,POWER
69,N24001934,NH440 RAYACHOTY TOVEMPALLI 2LPS,MoRTH,"NICOBAR
ISLANDS",12-2021,5/2024,-,439.82,-,119.72,26.73,POWER
70,N24001935,4 LANE WITH PAVED SHOULDER FROM KM 0.000 TO KM 51.119 OF TADIPATRI TO MUDDANUR OF NH67,MoRTH,"NICOBAR
ISLANDS",3-2022,8/2025,-,724.17,-,229.73,97.38,POWER
71,N24001939,NH165 FROM KM 0.000 TO KM 64.020 PAMARRU TO AKIVEEDU SECTION TO TWO LANE WITH PAVED SHOULDERS,MoRTH,"NICOBAR
ISLANDS",3-2020,9/2023,-,529.24,-,224.81,51.78,POWER
72,N24001942,2LPS FROM KM36.400 TO KM. 107.224 OF NH167BG FROM DUTTALUR TO KAVALI SECTION,MoRTH,"NICOBAR
ISLANDS",3-2021,7/2024,-,423.67,-,145.72,60.53,POWER
73,N24001951,NH167AD FROM MACHERLA TO DACHEPALLI FROM KM.0.000 TO 43.659 TO 2LPS,MoRTH,"NICOBAR
ISLANDS",1-2022,1/2025,-,403.22,-,201.69,97.00,POWER
74,N24001952,NH 167 B KADAPA NELLORE BORDER TO CSPURAM I.E. FROM KM 58.635 TO KM 99.409,MoRTH,"NICOBAR
ISLANDS",3-2022,8/2025,-,285.50,-,204.29,95.00,POWER
75,N24001953,NH-30-BHADRACHALAM TO KONTA SECTION 2LPS,MoRTH,"NICOBAR
ISLANDS",12-2021,9/2024,-,388.71,-,159.29,80.00,POWER
76,N24001954,WIDENING TO 2LPS OF RAMPACHODAVARAM - KOYYURU SECTION OF NH516E FROM KM.43.700 TO KM 113.820,MoRTH,"NICOBAR
ISLANDS",3-2022,1/2025,-,568.12,-,215.09,91.05,POWER
77,N24001955,GUDIWADA TOWN 2 LANE ROB AND ROAD IMPROVEMENT OF NH165 IN REPLACEMENT OF LC NO 3ESPL3 AT KM 231.700,MoRTH,"NICOBAR
ISLANDS",3-2022,5/2025,-,317.22,-,84.57,80.00,POWER
78,N24001956,2LPS FROM GONDIGUDA TO ARAKU BHALLAGUDA KM 27.480 TO KM 51.772 SECTION OF NH 516E,MoRTH,"NICOBAR
ISLANDS",8-2020,9/2023,-,296.66,-,190.30,87.49,POWER
79,N24001957,2LPS OF KOYYURU TO CHAPRATHIPALEM SECTION OF NH 516E,MoRTH,"NICOBAR
ISLANDS",8-2020,7/2024,-,349.29,-,114.53,76.00,POWER
80,N24001958,2LPS OF CHAPRATHIPALEM TO LAMBASINGI SECTION OF NH 516E,MoRTH,"NICOBAR
ISLANDS",8-2020,10/2024,-,311.22,-,85.45,72.00,POWER
81,N24001959,4 LANE FROM KM 56.400 TO KM 120.300 FROM B.KOTHAPALLI JUNCTION TO GORANTLA OF NH 716G,MoRTH,"NICOBAR
ISLANDS",3-2022,9/2025,-,839.98,-,146.12,67.00,POWER
82,N24001979,4L GREENFIELD ROAD CONNECTING NORTH AND SOUTH INDUSTRIAL CLUSTER OF KHANDALERU CREEK NEAR KRISHNAPAT,NHAI,"NICOBAR
ISLANDS",8-2022,9/2025,-,609.43,-,25.24,52.45,POWER
83,N24001980,4 LANING OF NH 544D FROM EXISTING KM 346.300 OF NH 44 (DESIGN CHAINAGE KM 0.000) TO KM 39.380 (DESIG,NHAI,"NICOBAR
ISLANDS",10-2022,7/2025,-,907.76,-,388.40,81.35,POWER
84,N24001981,CONSTRUCTION OF SIX LANING OF NAIDUPETA JUNCTION - TURPUKANUPUR SECTION FROM KM.57+046 TO KM.91+927,NHAI,"NICOBAR
ISLANDS",7-2022,10/2025,-,"1,398.84",-,58.68,16.00,POWER
85,N24001982,4L PS FROM KURNOOL (EXISTING KM. 5.400 OF NH-40/DESIGN KM.0.000) TO MANDLEM (EXISTING KM.38.000/DESI,NHAI,"NICOBAR
ISLANDS",3-2023,10/2025,-,827.39,-,333.74,99.15,POWER
86,N24001983,4 LANING FROM EXISTING KM 39.380 (DESIGN CH. 37.000) TO KM 74.450 (DESIGN CH. 69.000) OF MUCHUKOTA ?,NHAI,"NICOBAR
ISLANDS",10-2022,8/2025,-,972.63,-,309.39,53.38,POWER
87,N24001984,4L PS FROM MANDLEM (EXISTING KM. 38.000/DESIGN KM.30.600) TO ATMAKUR (EXISTING KM.73.000/DESIGN KM 6,NHAI,"NICOBAR
ISLANDS",3-2023,10/2025,-,887.28,-,293.88,84.50,POWER
88,N24001985,BANGALORE CHENNAI EXPRESSWAY (PHASE-II PKG-II) FROM KM.96.000 TO KM 127.000 (BAIREDDYPALLE TO BANGAR,NHAI,"NICOBAR
ISLANDS",3-2021,6/2025,-,"1,942.94","2,171.00","1,694.18",61.25,POWER
89,N24001986,4L OF PILERU TO KALUR SECTION FROM KM 55.900 TO KM 92.800 AND KM 94.500 TO KM 95.717,NHAI,"NICOBAR
ISLANDS",10-2023,4/2025,-,"1,047.32",-,301.20,88.00,POWER
90,N24001987,"CONSTRUCTION OF 1 NOS ROB, 2 NOS VUPS, SERVICE ROADS, PROVISION OF LIGHTING AND CONSTRUCTION OF OTHE",NHAI,"NICOBAR
ISLANDS",6-2023,12/2024,-,152.05,-,136.12,76.63,POWER
91,N24001988,6L OF CHITTOOR TO THATCHUR FROM KUMARAJAPET TO VEERA KAVERI RAJA PURAM FROM KM 43.800 TO KM 61.380 O,NHAI,"NICOBAR
ISLANDS",2-2021,10/2025,-,591.99,703.00,496.65,65.28,POWER
92,N24002033,CONSTRUCTION OF 4 LANE ACCESS CONTROLLED HIGHWAY FROM CHILLAKURU CROSS ROAD TO TURPUKANUPUR KM 0+000,NHAI,"NICOBAR
ISLANDS",7-2022,12/2025,-,909.47,-,97.03,30.40,POWER
93,N24002103,COMPLETION OF BALANCE WORKS PENDING IN BIT AND PIECES (INCOMPLETE STRETCH AT 7 LOCATIONS) AND LISTED,NHAI,"NICOBAR
ISLANDS",9-2022,1/2025,-,166.52,-,57.29,98.00,POWER
94,N24002122,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM NARAYANMPET (CH. 203+500) TO CHANDRASEKHARPURAM (CH. 22,NHAI,"NICOBAR
ISLANDS",2-2024,2/2026,-,813.66,-,91.70,22.17,POWER
95,N24002123,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM CHANDRASEKHARAPURAM (CH. 228+000) TO POLAVARAM (CH. 260,NHAI,"NICOBAR
ISLANDS",2-2024,2/2026,-,"1,292.65",-,135.26,16.00,POWER
96,N24002124,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM POLAVARAM (CH. 260+000) TO MARRIPUDI (CH. 285+500) OF [,NHAI,"NICOBAR
ISLANDS",2-2024,2/2026,-,747.29,-,142.64,30.80,POWER
97,N24002125,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM MARRIPUDI (CH. 285+500) TO SOMAVARAPPADU (CH. 314+600),NHAI,"NICOBAR
ISLANDS",2-2024,2/2026,-,976.40,-,229.68,41.00,POWER
98,N24002126,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM SOMAVARAPPADU (CH.314.600) TO MUPPAVARAM (CH.343+240) O,NHAI,"NICOBAR
ISLANDS",2-2024,2/2026,-,"1,103.89",-,133.88,14.50,POWER
99,N24002139,4-LANE WITH PAVED SHOULDERS FROM KM 32/0 TO KM 79/650 (DESIGN CHAINAGE KM 32+000 TO KM 78+760) PUTTA,MoRTH,"NICOBAR
ISLANDS",3-2023,12/2025,-,"1,318.57",-,201.00,56.00,POWER
100,N24002140,SOMAYAJULAPALLI ? DHONE SECTION OF NH ? 340B FROM KM.0/0 TO 56/200 [DESIGN CH. KM 0/00 TO KM 53/33],MoRTH,"NICOBAR
ISLANDS",4-2023,12/2025,-,629.73,-,103.00,62.00,POWER
101,N24002142,2-LANE WITH PAVED SHOULDER CONFIGURATION OF LAMBASINGI TO PADERU SECTION (KM 205+000 TO KM 253+974),MoRTH,"NICOBAR
ISLANDS",8-2023,11/2025,-,361.24,-,7.00,26.00,POWER
102,N24002143,BYPASS ROAD TO ADONI TOWN CONNECTING NH-167 (HAGARI - JADCHARLA ROAD) FROM KM.62/700 TO 71/400 IN KU,MoRTH,"NICOBAR
ISLANDS",8-2023,2/2026,-,361.24,-,109.65,56.00,POWER
103,N24002144,VODAREVU-CHILAKALURIPET SECTION (DESIGN CHAINAGE 0+00 TO 47+000) OF NH- 167A (PACKAGE-I),MoRTH,"NICOBAR
ISLANDS",8-2023,2/2026,-,"1,064.24",-,80.00,60.00,POWER
104,N24002145,TADIPATRI BYPASS (KM 0+000 TO KM 6+285) OF 4-LANE ON NH-67 IN ANANTAPURAMU,MoRTH,"NICOBAR
ISLANDS",11-2023,3/2026,-,159.66,-,11.95,63.50,POWER
105,N24002146,KURNOOL/KADAPA BORDER- JAMMALAMADUGU SECTION OF NH-167K I.E. DESIGN CH. KM 248+010 TO KM 269+900,MoRTH,"NICOBAR
ISLANDS",11-2023,11/2025,-,292.63,-,61.36,20.00,POWER
106,N24002147,DORNALA TO KUNTA JUNCTION FROM DESIGN CHAINAGE KM 244+000 TO 267+990 SECTION OF NH-765 (PACKAGE-2),MoRTH,"NICOBAR
ISLANDS",12-2022,1/2024,-,244.83,-,104.32,74.00,POWER
107,N24002148,PADERU BYPASS (KM 0+000 TO KM 13+000) OF 2- LANE WITH PAVED SHOULDER ON NH- 516E,MoRTH,"NICOBAR
ISLANDS",3-2023,3/2024,-,244.43,-,22.77,N.A.,POWER
108,N24002149,DAVUALAPALLY TO MALLAPALEM SECTION {DESIGN CH. KM 133+922 TO KM 154+216 (EXISTING CH. KM 133+922 TO,MoRTH,"NICOBAR
ISLANDS",1-2024,2/2024,-,393.61,-,40.00,24.00,POWER
109,N24002215,DEVELOPMENT OF SIX LANE ACCESS CONTROLLED GREEN FIELD HIGHWAY FROM KAVULAKUNTLA (KM.196+000) TO NARA,NHAI,"NICOBAR
ISLANDS",2-2023,2/2027,-,"1,092.18",-,0.14,N.A.,POWER
110,N24002217,ACCESS CONTROLLED HIGHWAY OF 4 LANE WITH PAVED SHOULDERS FROM TN/AP BORDER (DESIGN CHAINAGE KM 61+51,NHAI,"NICOBAR
ISLANDS",12-2024,12/2026,-,"1,346.82",-,37.35,7.40,POWER
111,N30000002,POLAVARAM IRRIGATION PROJECT,PPA,"NICOBAR
ISLANDS",2-2009,3/2020,Mar-2027,"10,151.04",-,"23,775.68",76.00,"WATER
RESOURCES"
112,N04000092,CONSTRUCTION OF NEW GREEN FIELD AIRPORT AT HOLLONGI ITANAGAR ARUNACHAL PRADESH,AAI,"NICOBAR
ISLANDS",2-2019,8/2022,Jun-2025,645.63,732.00,693.71,99.72,"CIVIL
AVIATION"
113,180100221,SUBANSIRI LOWER H.E.P (8X250 MW) (NHPC),NHPC,"NICOBAR
ISLANDS",9-2003,9/2010,-,"6,285.33",-,"24,213.84",96.49,POWER
114,N18000362,DIBANG MULTIPURPOSE PROJECT 2880 MW ARUNACHAL PRADESH,NHPC,"NICOBAR
ISLANDS",2-2023,2/2032,-,"31,876.39",-,"3,306.40",15.74,POWER
115,N24000683,TWO LANING OF JORAM KOLORIANG ROAD (NH 713) ON EPC BASIS FROM DESIGN KM. 138+000 TO KM. 154+036 [EX,NHIDCL,"NICOBAR
ISLANDS",2-2017,11/2023,Mar-2024,180.57,244.10,160.46,96.62,POWER
