Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),AUG25 progress (%),Sector
404,709789,Installation of Independent De- Aromatized Solvents [DAS] production facilities at MR,(Bharat Petroleum Corporation Limited [BPCL]),Maharashtra,NA,03/2023,07/2025,12/2025,405,343,205.63,86,Cumulative
405,709797,POL & LOBS Installations with Receipt Pipelines at Rasayani,(Bharat Petroleum Corporation Limited [BPCL]),Maharashtra,NA,05/2023,05/2026,05/2026,2585,2585,612.7,61,Cumulative
406,709846,Part Replacement Pipeline Project  [PRPP],(Oil and Natural Gas Corporation Limited [ONGC]),Maharashtra,NA,11/2022,05/2024,11/2025,1219.48,1145.1,744.81,90,Cumulative
407,616254,Visakh Raipur Pipeline Project,(Ministry of Petroleum and Natural Gas),"Multi-States (Andhra Pradesh, Chhattisgarh, Odisha)",NA,09/2024,09/2027,09/2027,2212,2212,13.45,8,Cumulative
408,701346,North East Gas Grid,(Ministry of Petroleum & Natural Gas),"Multi-States (Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, Sikkim, Tripura, West Bengal)",NA,04/2020,03/2024,03/2026,9265,9265,6393.85,85,Cumulative
409,701350,Upgradation of Facilities of Numaligarh-Siliguri Product Pipeline [NSPL] for transportation of additional products from existing 1.72 MMTPA to 5.5 MMTPA,(Ministry of Petroleum & Natural Gas),"Multi-States (Assam, West Bengal)",NA,06/2021,12/2024,10/2025,860,860,584.76,98,Cumulative
410,709757,"CGD Project in Banka, Dumka, Godda, Jamtara, Pakur, Sahibganj GA ID 11A.02",(Hindustan Petroleum Corporation Limited),"Multi-States (Bihar, Jharkhand)",NA,06/2022,06/2030,06/2030,1377,1377,331.74,27,Cumulative
411,701354,Mumbai Nagpur Jharsuguda Pipeline Project,(Ministry of Petroleum & Natural Gas),"Multi-States (Chhattisgarh, Madhya Pradesh, Maharashtra, Odisha)",NA,06/2020,05/2023,09/2025,7844.25,8255,6495.6,96,Cumulative
412,701330,Mehsana-Bhatinda & Bhatinda-Jammu Natural Gas Pipeline,(Ministry of Petroleum & Natural Gas),"Multi-States (Gujarat, Haryana, Punjab, Rajasthan)",NA,07/2011,06/2024,12/2025,7392,7392,6308,90,Cumulative
413,612853,Gurdaspur Jammu Pipeline,(Gas Authority of India Limited [GAIL]),"Multi-States (Jammu and Kashmir, Punjab)",NA,07/2023,07/2026,07/2026,521.9,521.9,190.1,36,Cumulative
414,701228,Kochi - Koottanad - Bangalore - Mangalore Pipeline Phase-II,(Ministry of Petroleum & Natural Gas),"Multi-States (Karnataka, Kerala, Tamil Nadu)",NA,06/2009,12/2012,12/2025,2915,5909,4453.29,94,Cumulative
415,701338,City Gas Distribution Maharashtra Natural Gas Limited,(Ministry of Petroleum & Natural Gas),"Multi-States (Karnataka, Maharashtra)",NA,01/2006,06/2031,06/2031,5535,5535,3861.49,0,Cumulative
416,701344,Dhamra Haldia Pipeline Project,(Ministry of Petroleum & Natural Gas),"Multi-States (Odisha, West Bengal)",NA,03/2020,11/2022,12/2025,1030.65,1125,854.6,87,Cumulative
417,709794,"City Gas Distribution Projects at Fazilka [except area already authorized], Ganganagar and Hanumangarh districts",(Bharat Petroleum Corporation Limited [BPCL]),"Multi-States (Punjab, Rajasthan)",NA,12/2022,06/2030,06/2030,3207,3207,339.57,24,Cumulative
418,709786,"Augmentation/ Revamping of Dimapur Depot, Dimapur",(MinistryofPetroleumNaturalGas),Nagaland,NA,08/2023,11/2027,11/2027,227.62,227.62,9.12,22,Cumulative
419,604859,Integrated Para Xylene [PX] and Purified Terephthalic Acid [PTA] Project at Paradip Refinery,(Ministry of Petroleum & Natural Gas),Odisha,NA,07/2020,01/2024,08/2026,13805,11783,8310.16,90,Cumulative
420,709800,"CUF POL Depot at Sadashibpur [Meramundali], Odisha",(MinistryofPetroleumNaturalGas),Odisha,NA,04/2021,03/2026,03/2026,393.54,393.54,104.55,44,Cumulative
421,400119,Life Extension of 48 well platforms of Mumbai High & Heera Fields,(Oil and Natural Gas Corporation Limited [ONGC]),Offshore,NA,12/2015,04/2018,12/2025,3190.69,3375.9,3074.25,89,Cumulative
422,616950,PRP-VIII [Group-A],(Ministry of Petroleum & Natural Gas),Offshore,NA,09/2024,02/2026,02/2026,1486.4,1486.4,272.3,19,Cumulative
423,709839,Daman Upside Development Project,(Oil and Natural Gas Corporation Limited [ONGC]),Offshore,NA,06/2022,10/2025,02/2026,4144.41,6406.9,3894.53,85,Cumulative
424,709848,MHN TCPP PGC BGC Project [MTPBP],(Ministry of Petroleum & Natural Gas),Offshore,NA,06/2022,05/2026,05/2026,2329.45,2354.23,820.24,53,Cumulative
425,709849,PRP-VIII Group B [NH & BS Asset],(Ministry of Petroleum & Natural Gas),Offshore,NA,06/2024,02/2026,02/2026,2379.84,3165.53,1675.65,62,Cumulative
426,709851,Integrated Development of 4 Contract Areas under DSF-II,(Ministry of Petroleum & Natural Gas),Offshore,NA,05/2023,04/2027,04/2027,6183.79,6183.79,474,20,Cumulative
427,400171,2G Ethanol Biorefinery at Bathinda,(Hindustan Petroleum Corporation Limited [HPCL]),Punjab,NA,05/2020,02/2023,03/2026,1421.46,1421.46,1182.4,95,Cumulative
428,612998,Bathinda Sangrur Pipeline,(Ministry of Petroleum and Natural Gas),Punjab,NA,11/2021,05/2024,09/2025,367,397,346.18,93,Cumulative
429,709770,City Gas Distribution Project at Pathankot District,(MinistryofPetroleumNaturalGas),Punjab,NA,03/2022,09/2033,09/2033,151,151,8.73,2,Cumulative
430,604795,CBR 9 MMTPA Project,(Chennai Petroleum Corporation Limited [CPCL]),Tamil Nadu,NA,09/2021,06/2025,10/2028,31580,36354,1342.27,10,Cumulative
431,709750,Laying of new 28 inch Desal Water Pipeline and 10 inch Reject Water Pipeline between CPCL Manali Refinery and CPCL Desalination plant at Ennore,(Chennai Petroleum Corporation Limited [CPCL]),Tamil Nadu,NA,01/2024,09/2025,12/2025,205,205,38.14,42,Cumulative
432,709796,City Gas Distribution Projects at the Nilgiris and Erode districts,(Bharat Petroleum Corporation Limited [BPCL]),Tamil Nadu,NA,12/2022,03/2030,03/2030,3685,3685,226.87,17,Cumulative
433,709837,"Creation of Gas Dehydration  Facilities, Tripura Asset",(Oil and Natural Gas Corporation Limited [ONGC]),Tripura,NA,03/2022,05/2024,12/2025,209.33,131.51,68.88,62,Cumulative
434,400161,"PP Project, Pata",(Gas Authority of India Limited [GAIL]),Uttar Pradesh,NA,03/2019,01/2024,09/2025,910.56,1299.02,1019,97,Cumulative
435,709781,Revamping / Augmentation of Facilities at Mathura Bitumen Plant,(MinistryofPetroleumNaturalGas),Uttar Pradesh,NA,04/2022,06/2027,12/2026,260.12,260.12,1.11,26,Cumulative
436,709795,"City Gas Distribution Projects at Lakhimpur Kheri , Sitapur, Bahraich, Shravasti,Balrampur, Siddharth Nagar & Maharajganj districts",(Bharat Petroleum Corporation Limited [BPCL]),Uttar Pradesh,NA,12/2022,06/2030,06/2030,16654,16654,558.33,11,Cumulative
437,617302,Durgapur - Haldia Pipeline [Section-3B of JHBDPL Project],(Ministry of Petroleum & Natural Gas),West Bengal,NA,03/2017,12/2020,12/2025,1740,2493.15,2239.7,90,Cumulative
438,709753,Haldia Panagarh Pipeline Project,(Hindustan Petroleum Corporation Limited),West Bengal,NA,11/2022,11/2025,11/2025,1010,1010,645.07,82,Cumulative
439,709758,"CGD Project in Malda, Birbhum, Murshidabad, Dakshin Dinajpur GA ID 11A.03",(Hindustan Petroleum Corporation Limited),West Bengal,NA,06/2022,06/2030,06/2030,2628,2628,335.96,27,Cumulative
440,709772,"City Gas Distribution Project at East Mednipore, West Mednipore & Jhargram Districts",(MinistryofPetroleumNaturalGas),West Bengal,NA,03/2022,06/2031,06/2031,609,609,56.35,2,Cumulative
441,709791,City Gas Distribution Projects at Alipurduar and Cooch Behar,(Bharat Petroleum Corporation Limited [BPCL]),West Bengal,NA,12/2022,03/2030,03/2030,1017,1017,184.13,39,Cumulative
442,701173,AIIMS Majra Rewari Haryana,(Ministry of Health & Family Welfare),Haryana,NA,02/2019,02/2023,12/2026,1299,1299,349.41,28,Healthcare
443,701167,AIIMS Kashmir at Awantipora Jammu & Kashmir,(Central Public Works Department [CPWD]),Jammu and Kashmir,01/2019,01/2019,01/2025,12/2025,1828,1828,1531.86,66,Healthcare
444,701171,AIIMS Bibinagar,(Ministry of Health & Family Welfare),Telangana,12/2018,12/2018,09/2022,12/2025,1028,1365.95,812.95,84,Healthcare
445,708662,Establishment of 600 bed super specialty hospital with optional development of Medical college and further expansion on PPP basis.,(Mumbai Port Trust [MPT]),Maharashtra,08/2019,01/2022,06/2026,12/2027,693,693,58,0,Healthcare
446,609424,"Development of Container Terminal at Tuna-Tekra, Deendayal Port on BOT Basis Under PPP Mode",(Deendayal Port Trust [DPT]),Gujarat,NA,12/2023,12/2026,-,4243.64,4243.64,366.2,10,Inland Waterways
447,701565,Jal Marg Vikas Project,(Inland Waterways Authority of India [IWAI]),"Multi-States (Bihar, Jharkhand, Uttar Pradesh, West Bengal)",01/2018,02/2018,12/2023,12/2025,5369.18,5061.15,3510.72,71,Inland Waterways
448,701586,Setting up of a Floating Storage and Regasification Unit [FSRU] - Mumbai,(Mumbai Port Trust [MPT]),Maharashtra,NA,04/2021,11/2026,11/2026,900,900,65,0,Shipping
449,708655,Operationalization of Coastal Berth & Shallow Water Berth through PPP,(Jawaharlal Nehru Port Authority [JNPA]),Maharashtra,NA,07/2021,01/2026,-,366.8,366.8,376.86,25,Shipping
450,701574,Deepening and Optimization of Inner Harbour facilities including development of Western Dock on BOT basis to handle Cape size vessels,(Paradip Port Trust [PPT]),Odisha,05/2022,01/2023,12/2027,10/2028,3004.63,3004.63,1149.79,40,Shipping
451,701576,Berth No. 2 [previously Berth 3] of HDC Mechanization Project,"(Haldia Dock Complex, Syama Prasad Mookerjee Port Authority)",West Bengal,NA,03/2023,09/2025,01/2026,298.26,298.26,420,91,Shipping
452,701577,Shalukkhali Liquid Cargo Handling Facility Development Project,"(Haldia Dock Complex, Syama Prasad Mookerjee Port Authority)",West Bengal,NA,08/2022,08/2025,-,253.65,253.65,9.28,0,Cumulative
453,707215,National Maritime Heritage Complex [NMHC] Phase-I,(Indian Port Rail & Ropeway Corporation Ltd. [IPRCL]),Gujarat,02/2019,01/2022,03/2024,09/2025,573,1238.05,496.63,66,"Tourism, Hospitality & Wellness"
454,615202,Capacity expansion of Deposit-14 and 14 NMZ at Kirandul,(National Mineral Development Corporation Limited [NMDC]),Chhattisgarh,08/2021,07/2022,12/2028,03/2028,1700,1756.2,65.44,3,Metals & Mining
455,617243,Replacement of Hot Leveller No.1 of Plate Mill at Bhilai Steel Plant,(Steel Authority of India Limited [SAIL]),Chhattisgarh,07/2024,08/2024,07/2026,-,198.62,198.62,10.9,10,Steel
456,617255,"Replacement of Converter Vessels, Trunnion Rings, Support System & Installation of Secondary Emission at Bhilai Steel Plant",(Steel Authority of India Limited [SAIL]),Chhattisgarh,NA,12/2023,06/2026,-,471.83,471.83,130.66,40,Steel
457,617256,Rebuilding of Coke Oven Battery No.7 & 8 at Bhilai Steel Plant,(Steel Authority of India Limited [SAIL]),Chhattisgarh,NA,01/2024,10/2025,-,884.1,884.1,466.31,77,Steel
458,706811,NMDC Slurry Pipeline Project Phase-1,(National Mineral Development Corporation Limited [NMDC]),Chhattisgarh,11/2015,09/2020,06/2023,12/2025,2907,5427,3038.85,85,Steel
459,709826,SCREENING PLANT-III AT KIRANDUL,(National Mineral Development Corporation Limited [NMDC]),Chhattisgarh,NA,10/2021,01/2026,-,2718.84,2718.84,1341.08,72,Steel
460,709827,CONSTRUCTION OF RESIDENTIAL TOWERS AT BIOM KIRANDUL COMPLEX,(National Mineral Development Corporation Limited [NMDC]),Chhattisgarh,NA,10/2022,12/2025,-,349.75,349.75,282.52,88,Steel
461,400174,"New Sinter Plant at BSL, SAIL",(Steel Authority of India Limited [SAIL]),Jharkhand,03/2015,05/2015,10/2017,06/2027,1034.01,1752.3,883.44,51,Steel
462,617249,Replacement of existing Grinders in CRM-I & II at Bokaro Steel Plant,(Steel Authority of India Limited [SAIL]),Jharkhand,01/2025,02/2025,01/2027,-,211.94,211.94,15.04,10,Steel
463,617250,Secondary Emission Control in Converters of SMS-II at Bokaro Steel Plant,(Steel Authority of India Limited [SAIL]),Jharkhand,NA,02/2025,10/2026,-,207.13,207.13,15.76,8,Steel
464,617253,Revamping of old sub-systems of Blast Furnace 3 at Bokaro Steel Plant,(Steel Authority of India Limited [SAIL]),Jharkhand,09/2023,10/2023,07/2025,11/2025,513.82,513.82,234.54,71,Steel
465,617254,Replacement of remaining 04 sets  of Battery Cyclones with 04 Nos. of ESPs in Sinter Plant-1 at Bokaro Steel Plant,(Steel Authority of India Limited [SAIL]),Jharkhand,NA,04/2024,06/2026,-,260.37,260.37,44.25,22,Steel
466,617257,Rebuilding of Coke Oven Battery No.6 at Bokaro Steel Plant,(Steel Authority of India Limited [SAIL]),Jharkhand,NA,12/2023,11/2026,-,627.31,627.31,91.96,38,Steel
467,400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka.",(National Mineral Development Corporation Limited [NMDC]),Karnataka,11/2014,06/2024,08/2026,-,1043.63,1043.63,229.77,29,Steel
468,400065,Installation of 4th Slab Caster along with its Auxiliaries and a New Ladle Furnace in SMS-II at Rourkela Steel Plant,(Steel Authority of India Limited [SAIL]),Odisha,01/2022,02/2022,05/2025,09/2025,1105.23,1105.23,769.08,97,Steel
469,612781,Rebuilding of COB 4 at Durgapur Steel Plant,(Steel Authority of India Limited [SAIL]),West Bengal,11/2023,12/2023,12/2026,-,916.78,916.78,126.25,14,Steel
470,617242,Installation of New Bar Mill at Durgapur Steel Plant,(Steel Authority of India Limited [SAIL]),West Bengal,09/2024,10/2024,06/2027,-,2115.44,2115.44,209.11,27,Steel
471,617246,Up-gradation of Blast Furnace No. 3 at Durgapur Steel Plant,(Steel Authority of India Limited [SAIL]),West Bengal,09/2024,10/2024,06/2026,-,758.09,758.09,63.81,4,Steel
472,617248,Third Ladle Furnace in Secondary Refinery Unit at IISCO Steel Plant,(Steel Authority of India Limited [SAIL]),West Bengal,NA,12/2024,07/2026,-,227.96,227.96,16.24,29,Steel
473,617251,Revamping of Air Pollution Control Systems of SP-1 at Durgapur Steel Plant,(Steel Authority of India Limited [SAIL]),West Bengal,11/2024,12/2024,05/2026,-,196.4,196.4,0.19,3,Steel
474,400298,Nadikudi - Srikalahasti New Line,(South Central Railway [SCR] - II),Andhra Pradesh,03/2012,12/2016,05/2027,03/2028,2312,5200,2179,54,7969.76
475,611615,Malugur- Palasamudram New Line Project [17.975 Km],(South Western Railway [SWR] - II),Andhra Pradesh,09/2022,11/2025,11/2027,12/2027,342,342.14,0,0,7969.76
476,611752,GOOTY-PENDEKALLU DOUBLING  29.225 Km,(South Central Railway [SCR] - II),Andhra Pradesh,03/2023,06/2023,03/2027,03/2027,351.83,351.83,18,25,Cumulative
477,611754,GUNTAKAL WEST-MALLAPPA GATE RAIL OVER RAIL - ROR TRACK,(South Central Railway [SCR] - II),Andhra Pradesh,NA,07/2023,07/2026,-,293.3,293.3,0,0,Cumulative
478,611927,Kurnool - Setting up facilities for coach midlife rehabilitation workshop,(WPO/Patna),Andhra Pradesh,01/2014,10/2017,12/2023,-,560.72,560.72,276.66,65,Cumulative
479,612827,Flyover between Pendurthi and Simhachalam North to avoid surface crossing at Simhachalam  7.135 km    PB 73 of 2023  24 NR,(East Coast Railway [ECoR] - II),Andhra Pradesh,NA,05/2024,04/2027,-,183.65,183.65,4.2,11,Cumulative
480,616697,3rd & 4th line between Vadlapudi -Gate Jn. cabin and Tie line between Gate Junction to Gangavaram port,(East Coast Railway [ECoR] - II),Andhra Pradesh,NA,03/2024,06/2026,-,154.28,154.28,10.98,16,Cumulative
481,617210,Tiupati Katpadi 104.39 kms,(South Central Railway [SCR] - II),Andhra Pradesh,04/2025,04/2025,03/2029,-,1215.56,1215.56,0,0,Cumulative
482,617216,3rd Line between Gudur Renigunta 83.17 Km,(South Central Railway [SCR] - II),Andhra Pradesh,10/2024,10/2024,03/2027,-,877.34,877.34,2.97,0,Cumulative
483,705253,Kurnool Coach Midlife Rehabilitation Project,(WPO/Patna),Andhra Pradesh,NA,07/2014,12/2020,-,563,563,120,0,Cumulative
484,705436,Kotapalli - Narasapur New Line,(South Central Railway [SCR] - II),Andhra Pradesh,03/2009,09/2013,03/2028,03/2028,2501,2501,1303.41,29,Cumulative
485,705633,Guntur-Guntakal Doubling Project,(South Central Railway [SCR] - II),Andhra Pradesh,03/2017,11/2017,12/2025,12/2026,3733,4295,4213.01,92,Cumulative
486,705648,Vijaywada-Gudur 3rd Line,(RVNL - II),Andhra Pradesh,08/2016,04/2018,11/2024,12/2025,6654,6654,5922,90,Cumulative
487,705789,Penukonda - Dharmavaram Doubling Project [41.5 Km],(South Western Railway [SWR] - II),Andhra Pradesh,04/2019,12/2018,03/2026,03/2026,307.66,307.66,270.52,61,Cumulative
488,705572,Doubling of New Bonggigaon to Kamakhya via Goalpara - 176 km,(Northeast Frontier Railway [NFR]),Assam,09/2016,09/2016,03/2026,03/2026,4060,4961,3683.75,93,Cumulative
489,706922,Guwahati-Dibrugarh via Tinsukia & Simaluguri-Dibrugarh,(Central Organisation for Railway Electrification [CORE]),Assam,09/2020,09/2018,09/2020,06/2024,890.36,889.36,391.73,89,Cumulative
490,706940,"Mariani-Jorhat, Tinsukia-Dangri and Makum -TirapTrack Electrification Project",(GM/C/ NFR),Assam,NA,01/2022,05/2024,-,183.99,183.99,0,0,Cumulative
491,706942,Harmuty-Murkongselek Branch Line Electrification Project,(GM/C/ NFR),Assam,NA,01/2022,05/2024,-,237.52,237.52,0,0,Cumulative
492,400254,Sakri -Hasanpur [via Harnagar - Kusheshwar Asthan] New Railway line,(East Central Railway [ECR] - I),Bihar,12/2023,08/1997,12/2024,03/2027,735.2,735.2,585.84,82,Cumulative
493,705364,Khagaria-Kusheshwar Asthan [42Km] new line project,(East Central Railway [ECR] - I),Bihar,04/2019,12/1998,12/2024,03/2027,614,1384,484.29,55,Cumulative
494,705366,Hajipur-Sagauli New line,(East Central Railway [ECR] - I),Bihar,10/2007,10/2004,03/2020,12/2026,2067,2087,1968.45,74,Cumulative
495,705368,Araria Supaul New BG Line,(East Central Railway [ECR] - I),Bihar,06/2018,03/2009,03/2024,01/2027,1605,2514,1490.2,35,Cumulative
496,705373,"Fatuha-Islampur incl. MM for extn.of NL from Neora to Daniawan , Daniawan to Biharsharif, Biharsharif to Barbigha , Barbigha to Shekhpura",(East Central Railway [ECR] - I),Bihar,08/2002,03/2002,03/2023,08/2025,1473,2882,2522.41,94,Cumulative
497,705450,Jogbani-Biratnagar New Rail Line project,(Indian Railway Construction International Limited [IRCON]),Bihar,06/2010,01/2011,03/2022,12/2026,402,486,367.54,86,Cumulative
498,705526,Samastipur-Darbhanga Doubling Railway Project,(East Central Railway [ECR] - I),Bihar,NA,12/2015,03/2025,10/2025,519,519,344.23,84,Cumulative
499,705527,Sagauli-Valmiknagar,(East Central Railway [ECR] - I),Bihar,03/2018,03/2017,12/2025,12/2025,1216,2222,2044.54,91,Cumulative
500,705528,Muzaffarpur-Sugauli,(East Central Railway [ECR] - I),Bihar,03/2018,03/2017,06/2024,08/2025,1586,1586,1463.45,99,Cumulative
501,706759,Rampur Dumra-Tal-Rajendrapul Additional Bridge and Railway Line Doubling,(Indian Railway Construction International Limited [IRCON]),Bihar,03/2016,05/2017,12/2024,12/2025,2373.64,1700.24,1402.95,95,Cumulative
502,706860,Barauni-Bachwara [16 km] - 3rd & 4th line incl. Barauni yard remodelling [32 km],(East Central Railway [ECR] - I),Bihar,10/2022,08/2025,08/2025,10/2026,645,645,0.77,55,Cumulative
503,400220,Kharsia-Dharamjaygarh with Spur line [East Corridor-Phase 1],(Indian Railway Construction International Limited [IRCON]),Chhattisgarh,03/2016,01/2014,09/2018,03/2026,3055,3438,2574.54,94,Cumulative
504,400291,Doubling of Kirandul-Jagdalpur Line [150 km],(East Coast Railway [ECoR] - II),Chhattisgarh,02/2013,03/2013,03/2020,12/2025,1589,1798,1542.79,92,Cumulative
505,602792,Gauge Conversion of Kendri-Dhamtari  including Abhanpur - Rajim Branch line 67.20 Kms - 2nd Material Modification to Raipur Titlagarh doubling.,(SECR),Chhattisgarh,07/2011,05/2021,02/2025,11/2025,1171,1171,848,82,Cumulative
506,612815,4th line between Nipania Bhatapara 14.4 Km,(South East Central Railway [SECR] - II),Chhattisgarh,NA,05/2024,03/2027,-,170.49,170.49,0,0,Cumulative
507,613003,Dharamjaigarh-Korba 63 km,(CERL),Chhattisgarh,NA,07/2022,08/2026,-,1686.26,1686.26,288.83,18.5,Cumulative
508,617200,KHARSIA- NAYA RAIPUR-PARMALKASA 5th and 6th Line [278KM],(CAO/C/SECR),Chhattisgarh,04/2025,04/2025,03/2031,-,7853.84,7853.84,0,0,Cumulative
509,705433,Dallirajhra- Rowghat New Railway Line - Phase I [95 km],(RVNL - II),Chhattisgarh,07/2009,12/2009,09/2025,12/2025,1628,1628,1440.85,82,Cumulative
510,705444,Gevra Road-Pendra Road New Railway Line [135 km],(Indian Railway Construction International Limited [IRCON]),Chhattisgarh,NA,04/2014,03/2022,12/2025,4970,4970,4346.55,73,Cumulative
511,705756,Chirimiri-Nagpur Halt New Railway Line Project,(South East Central Railway [SECR] - II),Chhattisgarh,10/2018,06/2020,06/2030,06/2030,241,656.52,71,0,Cumulative
512,706854,Boridand - Ambikapur Doubling Line Project,(South East Central Railway [SECR] - II),Chhattisgarh,06/2022,04/2022,06/2030,06/2030,1376,1576.23,218,18,Cumulative
513,709814,NIPANIA-BHATAPRA [14.4 KM] 4TH LINE [PB-72/NR/2022-23],(SECR),Chhattisgarh,NA,05/2024,12/2026,12/2026,170,184,0,0,Cumulative
514,709815,4TH LINE - BHATAPARA-HATHBAND [8.8 KM] [PB-72/NR/2022-23],(SECR),Chhattisgarh,NA,05/2024,01/2027,12/2027,177.03,177.03,0,2,Cumulative
515,709816,4TH LINE - BHILAI-BHILAI NAGAR [8.8 KM] [PB-72/NR/2022-23],(SECR),Chhattisgarh,NA,05/2024,02/2027,02/2027,177.34,177.34,1.16,2,Cumulative
516,709817,4TH LINE - DADHAPARA-BELHA [9.2 KM] [PB-72/NR/2022-23],(SECR),Chhattisgarh,NA,05/2024,11/2026,11/2026,169.06,169.06,14.42,60,Cumulative
517,709818,4TH LINE RAJNANDGAON-DONGARHGARH [31.2 KM] [PB-72/NR/2022-23],(SECR),Chhattisgarh,NA,05/2024,01/2027,01/2027,328.34,328.34,50.58,25,Cumulative
518,709819,3RD AND 4TH LINE - SARAGBUNDIA AND MADWARANI,(SECR),Chhattisgarh,09/2022,05/2025,12/2026,12/2026,167.64,167.64,0,2,Cumulative
519,613785,Redevelopment of New Delhi Railway Station and construction of associated infrastructure,(Ministry of Railways),Delhi,01/2023,06/2024,12/2028,-,4744,4744,35.09,0,Cumulative
520,705298,North Region Video Surveillance Project,(RCIL),Delhi,NA,04/2023,03/2024,-,274.39,274.39,0,0,Cumulative
521,705583,Anand Vihar-Tilak Bridge 3rd & 4th line,(CAO/C/NR),Delhi,03/2013,03/2013,03/2023,12/2027,667,667,285.44,62,Cumulative
522,705694,Provision of Work-site Tampers [WST] Railway Project,(EDTK[MC]/RB),Delhi,NA,01/2016,12/2023,01/2026,187.72,187.72,141.91,100,Cumulative
523,705708,WST Machine Procurement Project,(EDTK[MC]/RB),Delhi,NA,06/2018,03/2024,12/2027,176,176,0,0,Cumulative
524,705710,PCT Machine Procurement Project,(EDTK[MC]/RB),Delhi,NA,04/2019,04/2024,06/2027,336,336,74.32,85,Cumulative
525,705712,RBMV Machine Procurement Project,(EDTK[MC]/RB),Delhi,NA,10/2019,06/2024,12/2027,480,480,0.33,7,Cumulative
526,705717,SRGM Machine Procurement Project,(EDTK[MC]/RB),Delhi,NA,10/2019,12/2023,03/2026,440,440,390.03,90,Cumulative
527,705720,WST Machine Procurement Project,(EDTK[MC]/RB),Delhi,NA,12/2019,04/2024,12/2026,384,384,0,0,Cumulative
528,705721,DTS Machine Procurement Project,(EDTK[MC]/RB),Delhi,NA,12/2019,12/2024,12/2026,447.6,447.6,0,0,Cumulative
529,705722,BRM Machine Procurement Project,(EDTK[MC]/RB),Delhi,NA,09/2019,06/2024,12/2027,210,210,0.02,0,Cumulative
530,705726,Track Machine Procurement Project,(EDTK[MC]/RB),Delhi,NA,04/2020,03/2025,01/2028,6339,6339,4166.47,41,Cumulative
531,611918,Kosamba Umarpada 70 Km,(PCE/WR),Gujarat,NA,07/2022,03/2027,-,468,468,20,8,Cumulative
532,611937,Adraj Moti Vijapur 40 Kms,(Western Railway [WR] - II),Gujarat,05/2022,05/2022,05/2026,05/2026,417.53,417.53,223,86,Cumulative
533,611938,Vijapur Ambliyasan 42 km,(PCE/WR),Gujarat,05/2022,05/2022,05/2026,05/2026,415.38,415.38,364,96,Cumulative
534,611939,Himatnagar Khedbrahma  55 km,(Railway),Gujarat,06/2022,04/2017,06/2001,06/2026,482.42,482.42,461,96,Cumulative
535,611943,New broad gauge line between Naliya Jakhau Port 25 Kms,(PCE/WR),Gujarat,02/2023,02/2023,01/2028,01/2028,410.26,410.26,6,4,Cumulative
536,611944,Quadrupling between Gandhidham Adipur with Y connection at Adipur for providing direct entry towards Mundra Port and Bhuj and high level platform at Gopalpur 11Kms,(PCE/WR),Gujarat,02/2023,02/2023,03/2026,03/2026,152.44,152.44,20,68,Cumulative
537,611945,Petlad Bhadran 23 Kms,(PCE/WR),Gujarat,05/2022,05/2022,05/2030,05/2030,307.11,307.11,82,17,Cumulative
538,611969,Choranda Motikoral 18 Kms,(PCE/WR),Gujarat,NA,08/2023,10/2026,-,246,246,0,0,Cumulative
539,611970,Samlaya Timba Road 54 km,(PCE/WR),Gujarat,02/2023,02/2023,03/2030,03/2030,670.17,670.17,102,12,Cumulative
540,611971,Samni Jambusar 24 km,(PCE/WR),Gujarat,05/2022,05/2022,03/2030,03/2030,350,349.93,87,31,Cumulative
541,611972,Jambusar Kavi 26 Kms,(PCE/WR),Gujarat,NA,04/2023,12/2026,-,318,318,0,0,Cumulative
542,611973,miyagam karjan Choranda maalsar 37 kms,(PCE/WR),Gujarat,NA,06/2023,12/2026,-,450,450,0,0,Cumulative
543,611974,Western Railway Samakhiali Gandhidham Quadrupiling 53 Kms,(PCE/WR),Gujarat,08/2023,08/2023,12/2026,-,1430,1430,0,0,Cumulative
544,611977,Dahod Creation of Infrastructure facilities for 9000 HP Electric locomotives Manufacturing  at,(PCE/WR),Gujarat,NA,02/2023,02/2025,-,487,487,108.69,0,Cumulative
545,611978,Dahod Rolling Stock Workshop Provision of Infrastructure for CBS at,(PCE/WR),Gujarat,NA,03/2023,03/2025,-,158,158,47.31,0,Cumulative
546,611979,Sabarmati  Setting up of Maintenance Facilities for Train Sets Phase ii,(PCE/WR),Gujarat,NA,04/2023,06/2025,-,250,250,0,0,Cumulative
547,612072,4th LINE BETWEEN BAREJADI NANDEJ-SANAND-AHMEDABAD BYPASS,(Western Railway),Gujarat,02/2023,02/2023,03/2027,03/2027,961.67,961.67,327.53,17,Cumulative
548,613786,"Redevelopment of Ahmedabad railway station and associated infrastructure on engineering, procurement and construction mode",(Ministry of Railways),Gujarat,01/2023,11/2023,03/2028,-,2379,2379,656.84,16,Cumulative
