Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),AUG25 progress (%),Sector
308,606112,Tezpur University Projects,(Tezpur University),Assam,05/2019,06/2021,11/2023,08/2025,153.71,153.71,54.05,95,Education
309,606013,Additional Campus  of NITPatna,(NIT Patna),Bihar,07/2022,08/2022,07/2024,01/2026,499.21,499.21,425.47,91,Education
310,612851,"Phase 1B - Construction of Academic Block, Hostel, Residential Tower, Directors Residence and External Development works at National Institute of Technology, Delhi Campus on Engineering, Procurement and Construction basis",(Ministry of Education),Delhi,NA,11/2022,09/2025,-,333.49,333.49,277.75,91,Education
311,616886,Delhi University Eastern Campus at Surajmal Vihar,(Delhi University),Delhi,NA,01/2025,10/2026,-,373,373,23.23,15,Education
312,612916,"Construction of permanent campus of Central University of Gujarat at Village kundhela, Dist. Vadodara, Gujarat.",(Gujarat),Gujarat,NA,02/2021,03/2025,03/2026,490.63,490.63,301.44,76,Education
313,602099,Establishment of Permanent campus Phase 1 of IIM Sirmaur,"(Indian Institute of Management, Sirmaur)",Himachal Pradesh,09/2018,08/2020,10/2023,02/2026,392.51,454.78,323.64,92,Education
314,612128,Hostel blocks & dining hall block,"(Indian Institute of Technology, Mandi)",Himachal Pradesh,NA,03/2024,03/2026,03/2026,166.66,166.66,72.09,65,Education
315,612894,"Construction of Permanent Campus of Central University of Himachal Pradesh at Dehra, District - Kangra, [H.P.] on Engineering. Procurement and Construction [EPC Mode 1] Basis.","(Central University, Himachal Pradesh)",Himachal Pradesh,03/2021,08/2022,11/2024,11/2025,251.98,300.45,183.36,78,Education
316,602098,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K","(Indian Institute of Management, Jammu)",Jammu and Kashmir,03/2019,10/2020,06/2023,09/2025,424.93,500.91,484.52,96,Education
317,610940,"Additional Infrastructure at IISc Bangalore-RCC Monolithic for Men Hostel S14, Women Hostel S11 , Postdoctoral Hostel S12 2 Block , International Hostel S 12 , D&E Block S 12  2 Block FR.",(IISC Bangalore),Karnataka,08/2021,08/2021,03/2024,09/2025,420.41,420.41,360.72,99,Education
318,606431,CONSTRUCTION OF PERMANENT CAMPUS FOR IIT PALAKKAD UNDER PHASE 1A,(INDIAN INSTITUTE OF TECHNOLOGY PALAKKAD),Kerala,07/2017,03/2020,06/2022,11/2026,1006.45,1217.4,623.6,71,Education
319,611957,"Phase III A works at IIT Indore [03 Hostels, 01 Studio Apartment, 01 Housing, Heavy & Sophisticated lab complex, Academic POD and  Infrastructure for center of excellence]","(Indian Institute of Technology, Indore)",Madhya Pradesh,NA,11/2023,12/2026,-,496.28,496.28,143.95,35,Cumulative
320,612135,Hostel 4 -Earlier Known as Hostel 20,"(Indian Institute of Technology, Bombay)",Maharashtra,NA,05/2022,09/2025,-,182.33,182.33,132.44,95,Cumulative
