Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Actual Date of Completion (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),Sector
1,609041,"IoE Projects [Civil Works], IIT Kharagpur","Indian Institute of Technology, Kharagpur","West Bengal",01/2018,01/2019,08/2025,03/2023,12/2026,287.2,-,310,"Education"
2,701371,"Durgawati Reservoir Project","Irrigation and CAD-TG","Bihar",04/1996,04/1997,09/2025,12/2019,03/2026,691.15,971.96,978.51,"Water Resources"
3,400117,"Arjun Sahayak Project","Irrigation & Water Resources-UP","Uttar Pradesh",04/2009,04/2009,10/2025,12/2019,12/2019,741.38,2465.68,3037.68,"Water Resources"
4,604792,"Assam Bio Refinery, ABRPL","Ministry of Petroleum & Natural Gas","Assam",02/2018,02/2018,09/2025,09/2021,09/2025,1750,4930,4770,"Oil & Gas"
5,617303,"City Gas Distribution Project at Khagaria, Saharsa and Madhepura","Ministry of Petroleum & Natural Gas","Bihar",03/2019,03/2019,09/2025,03/2030,09/2025,163,163,96.95,"Oil & Gas"
6,708655,"Operationalization of Coastal Berth & Shallow Water Berth through PPP","Jawaharlal Nehru Port Authority [JNPA]","Maharashtra",-,07/2021,NA,01/2026,-,366.8,-,376.86,"Shipping"
